,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
442,Carlos Powell,SF-PF,2005-06,,,,77.25,78.75,105.0,221.8,82.75,11.54,,3.21,27.5,34.5,12.0
443,Roger Powell,SF,2005-06,,,,76.75,78.0,104.0,218.6,83.5,,,,,,
444,Ronnie Price,PG,2005-06,,,,72.75,74.25,96.5,184.8,77.5,10.49,,3.29,31.5,39.0,11.0
445,Anthony Roberson,PG,2005-06,,,,72.75,74.5,95.0,178.8,74.75,11.17,,3.19,31.5,37.0,14.0
446,Brandon Rush,SG-SF,2005-06,,,,77.0,78.5,104.5,211.4,83.25,11.33,,3.31,32.5,35.0,
447,Luke Schenscher,C,2005-06,,,,83.75,85.5,111.5,241.6,89.0,12.4,,3.47,23.5,26.5,1.0
448,Wayne Simien,PF,2005-06,,,,79.25,81.0,107.0,255.8,84.0,11.05,,3.35,27.0,27.5,11.0
449,Tre Simmons,SG-SF,2005-06,,,,76.0,77.0,102.5,194.2,79.5,10.8,,3.18,27.0,31.5,3.0
450,David Simon,C-PF,2005-06,,,,80.0,81.5,108.0,258.8,87.5,11.98,,3.44,28.0,33.0,18.0
451,Chris Taft,PF,2005-06,,,,80.5,81.5,109.0,261.0,85.75,11.26,,3.27,28.5,33.0,14.0
452,Chris Thomas,PG,2005-06,,,,71.75,73.0,95.0,176.2,75.0,10.84,,3.33,28.5,34.0,14.0
453,Omar Thomas,SF-SG,2005-06,,,,75.25,76.5,102.0,200.0,80.0,11.11,,3.27,25.0,29.5,6.0
454,Dijon Thompson,SF-SG,2005-06,,,,78.25,80.0,105.5,195.8,81.75,,,,,,
455,Ronny Turiaf,PF,2005-06,,,,80.0,81.25,106.5,237.8,85.5,11.5,,3.23,30.5,33.0,15.0
456,Charlie Villanueva,PF-SF,2005-06,,,,81.0,81.5,109.0,236.6,84.25,10.86,,3.3,26.0,31.0,11.0
457,Hakim Warrick,PF-SF,2005-06,,,,79.25,80.5,108.0,215.0,86.0,,,3.22,33.0,38.0,11.0
458,Martell Webster,SF,2005-06,,,,78.0,79.5,106.0,229.6,83.0,11.39,,3.39,28.0,30.5,7.0
459,Robert Whaley,PF-C,2005-06,,,,80.0,81.0,108.0,269.4,86.0,12.11,,3.25,28.5,33.5,15.0
460,Marvin Williams,PF-SF,2005-06,,,,79.0,80.25,108.0,228.2,87.5,11.11,,3.17,29.5,35.0,12.0
461,Deron Williams,PG,2005-06,,,,73.75,74.75,98.0,202.4,78.25,10.83,,3.25,30.0,35.0,15.0
462,Jawad Williams,SF,2005-06,,,,79.0,80.0,106.5,218.0,85.25,11.39,,3.23,28.0,34.0,15.0
463,Antoine Wright,SF-SG,2005-06,,,,77.25,78.25,104.5,202.6,80.75,11.45,,3.41,26.5,29.5,12.0
464,Bracey Wright,SG-PG,2005-06,,,,73.25,74.5,100.5,186.8,82.0,11.58,,3.27,30.0,36.0,8.0
465,Kenny Adeleke,PF-C,2006-07,10.5,,,78.5,79.75,104.0,250.0,82.25,11.57,,3.47,28.5,30.5,26.0
466,Maurice Ager,SG-PG,2006-07,8.0,,,75.25,76.5,101.5,203.0,79.75,11.73,,3.22,29.5,35.0,11.0
467,LaMarcus Aldridge,PF-C,2006-07,8.7,,,82.0,83.25,110.0,234.0,88.75,12.02,,3.43,26.5,34.0,8.0
468,Morris Almond,SG-SF,2006-07,6.9,,,76.75,78.0,102.5,214.0,82.0,11.45,,3.19,31.0,35.5,13.0
469,Lou Amundson,PF,2006-07,6.8,,,79.2,80.0,103.5,221.0,83.5,10.58,,3.2,32.0,35.5,14.0
470,Rashad Anderson,SG,2006-07,17.3,,,75.25,76.5,100.0,224.0,79.0,11.77,,3.48,27.5,32.5,13.0
471,Hilton Armstrong,C-PF,2006-07,6.3,,,81.5,82.25,109.0,240.0,88.0,12.28,,3.53,28.5,31.5,13.0
472,James Augustine,PF,2006-07,5.5,,,80.25,81.75,104.0,227.0,84.25,10.54,,3.25,30.0,32.5,13.0
473,Renaldo Balkman,SF-PF,2006-07,4.9,,,77.25,78.5,104.5,206.0,85.0,11.58,,3.22,30.5,35.0,9.0
474,J.P. Batista,PF,2006-07,12.0,,,79.5,80.5,103.5,265.0,82.0,11.62,,3.38,26.0,30.5,26.0
475,Will Blalock,PG,2006-07,7.2,,,71.25,72.5,96.5,194.0,78.0,11.08,,3.18,35.0,40.0,8.0
476,Brandon Bowman,SF,2006-07,8.4,,,78.75,80.25,103.0,209.0,83.5,11.41,,3.31,31.0,34.0,24.0
477,Ronnie Brewer,SG-PG,2006-07,5.0,,,77.75,78.75,103.5,223.0,83.25,11.32,,3.14,35.0,41.0,19.0
478,Denham Brown,SG-SF,2006-07,9.0,,,76.0,77.0,102.5,218.0,81.5,11.42,,3.25,28.0,34.5,12.0
479,Brad Buckman,PF,2006-07,10.5,,,79.25,80.75,107.5,238.0,84.0,12.26,,3.54,25.5,30.5,10.0
480,Nik Caner-Medley,SF,2006-07,9.6,,,78.5,80.0,103.0,234.0,81.0,10.57,,3.21,28.5,35.5,17.0
481,Rodney Carney,SG-SF,2006-07,5.3,,,76.5,77.75,103.5,204.0,82.0,10.57,,3.06,32.0,38.5,10.0
482,Keydren Clark,PG,2006-07,11.6,,,69.0,70.25,92.5,184.0,74.5,11.03,,3.11,31.0,34.0,13.0
483,Mardy Collins,PG-SG,2006-07,10.0,,,76.25,77.5,103.0,224.0,82.0,12.0,,3.27,31.5,37.5,9.0
484,Taquan Dean,SG-PG,2006-07,3.9,,,74.0,75.0,98.0,183.0,78.75,10.53,,3.2,30.5,34.5,16.0
485,Terence Dials,PF-C,2006-07,15.8,,,79.75,81.0,106.0,253.0,84.0,11.54,,3.5,26.5,30.0,16.0
486,Sean Dockery,PG-SG,2006-07,7.3,,,72.75,74.0,95.5,182.0,76.5,10.88,,3.34,29.0,33.0,4.0
487,Jordan Farmar,PG,2006-07,4.4,,,72.75,74.0,94.5,171.0,75.0,11.07,,3.17,33.5,42.0,11.0
488,Randy Foye,SG-PG,2006-07,10.0,,,74.25,75.25,97.0,212.0,78.25,10.53,,3.23,32.0,38.0,14.0
489,Torin Francis,PF-C,2006-07,12.4,,,81.0,82.0,105.5,247.0,85.0,11.97,,3.51,26.5,32.0,9.0
490,Rudy Gay,SF-PF,2006-07,5.7,,,79.0,80.0,107.5,222.0,87.0,11.03,,3.32,33.0,40.5,9.0
491,Nick George,SF-SG,2006-07,6.0,,,76.0,77.75,103.0,201.0,82.0,11.69,,3.25,30.5,38.0,14.0
492,Taj Gray,PF-SF,2006-07,6.8,,,79.25,80.5,107.0,231.0,84.75,11.02,,3.45,28.5,33.0,10.0
493,Dan Grunfeld,SF-SG,2006-07,10.4,,,76.75,78.0,99.0,216.0,78.25,11.3,,3.46,28.0,33.5,16.0
494,Matt Haryasz,PF-C,2006-07,9.8,,,81.75,83.0,107.5,219.0,84.25,11.34,,3.46,27.5,31.5,10.0
495,Eric Hicks,PF,2006-07,7.1,,,76.75,77.5,105.5,238.0,85.5,12.06,,3.34,30.0,34.0,20.0
496,Tedric Hill,SF-PF,2006-07,7.3,,,79.75,81.0,107.0,236.0,85.0,12.23,,3.24,30.0,36.5,1.0
497,Daniel Horton,PG-SG,2006-07,8.0,,,72.5,74.25,96.5,198.0,79.0,10.35,,3.16,30.0,36.5,17.0
498,Bobby Jones,SF-SG,2006-07,8.0,,,77.75,78.75,101.5,211.0,81.5,11.23,,3.28,28.5,34.5,15.0
499,Solomon Jones,PF-C,2006-07,7.4,,,80.5,81.75,109.0,224.0,88.75,11.27,,3.3,32.0,39.0,6.0
500,Viktor Keyru,SG-PG,2006-07,5.5,,,77.25,78.0,104.0,202.0,81.25,11.4,,3.24,29.0,34.5,11.0
501,Marco Killingsworth,PF,2006-07,19.0,,,77.5,78.75,104.0,266.0,87.0,11.42,,3.34,28.0,32.0,13.0
502,Tarence Kinsey,SF-SG,2006-07,4.1,,,76.75,77.5,100.5,179.0,78.75,10.67,,3.3,29.0,35.5,5.0
503,Carl Krauser,PG,2006-07,8.0,,,71.75,72.75,97.0,190.0,78.25,11.62,,3.38,26.0,31.0,8.0
504,Chris McCray,SG,2006-07,9.6,,,75.0,76.0,96.5,187.0,77.75,11.46,,3.34,30.5,39.0,1.0
505,Gerry McNamara,PG-SG,2006-07,12.8,,,71.75,72.5,92.5,177.0,72.75,11.28,,3.4,27.0,32.0,3.0
506,Pops Mensah-Bonsu,PF-C,2006-07,5.8,,,79.5,81.0,105.5,232.0,84.0,11.47,,3.29,31.5,36.0,19.0
507,Paul Miller,PF-C,2006-07,13.8,,,80.5,81.25,101.5,251.0,84.0,12.25,,3.66,29.0,35.5,25.0
508,Paul Millsap,PF,2006-07,9.7,,,78.25,79.25,105.5,258.0,85.5,11.67,,3.3,28.5,32.5,15.0
509,Dwayne Mitchell,SG-SF,2006-07,4.5,,,74.0,75.25,98.5,208.0,78.5,11.45,,3.16,37.5,41.5,17.0
510,Adam Morrison,SF,2006-07,6.8,,,78.5,79.75,105.0,198.0,82.0,11.46,,3.37,25.5,30.5,11.0
511,Yemi Nicholson,PF-C,2006-07,17.2,,,79.75,81.5,107.0,258.0,88.25,12.57,,3.65,26.5,26.0,8.0
512,David Noel,SF-SG,2006-07,6.1,,,76.5,78.0,100.0,223.0,81.5,10.54,,3.07,34.5,38.5,20.0
513,Steve Novak,SF,2006-07,8.1,,,80.0,81.25,103.0,216.0,81.5,11.11,,3.37,24.5,31.0,5.0
514,Patrick O'Bryant,C,2006-07,10.0,,,83.0,84.0,113.0,249.0,89.75,12.68,,3.63,26.5,30.0,13.0
515,Danilo Pinnock,PG-SG,2006-07,4.6,,,74.75,76.0,100.5,204.0,79.5,11.91,,3.08,29.5,35.5,7.0
516,Chris Quinn,PG-SG,2006-07,5.9,,,72.5,73.5,94.0,175.0,77.0,11.25,,3.25,32.0,37.0,7.0
517,Allan Ray,SG,2006-07,9.8,,,73.0,74.25,99.5,204.0,80.5,11.01,,3.2,28.5,35.5,9.0
518,JJ Redick,SG,2006-07,7.0,,,76.0,76.75,97.5,190.0,75.25,10.94,,3.29,27.5,33.0,6.0
519,Antywane Robinson,SF-PF,2006-07,6.9,,,78.25,79.5,105.5,217.0,86.5,11.73,,3.4,29.0,32.5,12.0
520,Brandon Roy,SG-SF,2006-07,7.6,,,77.25,78.25,101.0,207.0,80.0,11.13,,3.27,34.0,40.5,6.0
521,Blake Schilb,PG-SG,2006-07,11.3,,,77.25,78.25,102.0,209.0,80.75,11.25,,3.43,28.5,34.5,13.0
522,Mouhamed Sene,C,2006-07,6.6,,,83.0,84.0,113.0,237.0,92.5,12.52,,3.38,28.5,31.0,7.0
523,Cedric Simmons,PF-C,2006-07,5.6,,,80.25,81.5,108.5,223.0,88.25,11.05,,3.31,30.5,35.0,15.0
524,Marcus Slaughter,PF-SF,2006-07,8.5,,,79.0,80.0,104.5,220.0,83.5,11.56,,3.4,30.0,34.0,9.0
525,Craig Smith,PF,2006-07,12.2,,,77.5,78.5,103.5,259.0,81.5,11.59,,3.4,30.0,29.5,
526,Steven Smith,SF-PF,2006-07,7.8,,,79.5,81.25,104.0,238.0,84.5,12.08,,3.4,29.5,34.5,15.0
527,Michael Southhall,C,2006-07,7.9,,,81.5,82.25,107.5,241.0,88.25,12.29,,3.51,31.5,37.0,2.0
528,Frans Steyn,C,2006-07,12.8,,,85.25,86.5,109.0,280.0,86.25,11.67,,3.38,28.5,29.5,
529,Curtis Stinson,SG,2006-07,6.0,,,73.75,74.75,97.5,208.0,77.0,10.95,,3.27,28.0,31.5,17.0
530,Tyrus Thomas,PF-SF,2006-07,5.6,,,79.25,80.25,108.0,217.0,87.0,11.36,,3.2,34.0,39.5,8.0
531,Joah Tucker,SF-SG,2006-07,7.0,,,75.75,77.25,99.5,224.0,78.5,11.58,,3.31,29.0,34.0,19.0
532,Ian Vouyoukas,C-PF,2006-07,14.8,,,80.5,81.5,108.5,267.0,84.75,13.7,,3.72,23.0,28.0,8.0
533,Darius Washington,PG,2006-07,9.7,,,71.5,73.0,96.0,195.0,76.0,10.71,,3.26,29.0,37.5,9.0
534,CJ Watson,PG,2006-07,5.2,,,72.5,73.75,96.0,171.0,78.0,11.61,,3.15,31.5,34.0,12.0
535,Marcus Williams,PG,2006-07,12.4,,,74.0,75.25,97.5,215.0,79.0,11.3,,3.4,24.5,28.0,4.0
536,Shawne Williams,SF-PF,2006-07,8.0,,,79.25,80.75,104.0,227.0,87.0,10.69,,3.3,32.0,31.0,
537,Justin Williams,C-PF,2006-07,6.5,,,79.25,80.75,109.0,211.0,85.5,11.9,,3.31,26.5,31.5,7.0
538,Shelden Williams,PF-C,2006-07,11.4,,,79.5,80.5,104.0,258.0,88.25,11.53,,3.59,29.0,33.5,25.0
539,Eric Williams,C-PF,2006-07,13.0,,,79.25,80.75,106.5,285.0,88.25,11.71,,3.56,28.5,29.0,17.0
540,Curtis Withers,PF-SF,2006-07,5.0,,,78.0,78.5,101.0,227.0,82.0,11.54,,3.1,35.0,36.5,14.0
541,Mohamed Abukar,SF,2007-08,8.9,,,80.0,81.75,103.0,210.0,81.0,11.78,,3.37,30.5,35.0,15.0
542,Mario Boggan,PF,2007-08,9.2,,,77.0,79.0,107.0,240.0,86.0,12.18,,3.45,24.0,26.5,12.0
543,Craig Bradshaw,PF,2007-08,12.1,,,80.0,81.75,106.5,240.0,85.5,11.88,,3.54,26.0,28.0,12.0
544,Corey Brewer,SF-SG,2007-08,4.2,,,78.0,79.75,103.0,185.0,80.25,11.69,,3.22,30.5,36.5,11.0
545,Aaron Brooks,PG,2007-08,2.7,,,70.0,71.75,94.0,161.0,76.0,10.57,,3.2,32.5,39.5,6.0
546,Bobby Brown,PG,2007-08,6.6,,,71.0,73.75,95.5,170.0,76.0,11.27,,3.25,32.5,41.0,3.0
547,Russell Carter,SG,2007-08,6.0,,,75.0,76.5,97.5,221.0,80.5,11.61,,3.29,33.0,38.5,25.0
548,Coleman Collins,PF,2007-08,6.2,,,80.0,81.75,107.0,236.0,86.0,11.47,,,30.0,35.0,21.0
549,Mike Conley,PG,2007-08,4.2,,,71.0,72.75,94.5,175.0,77.75,11.63,,3.09,35.5,40.5,13.0
550,Daequan Cook,SG,2007-08,7.0,,,75.0,77.75,101.5,203.0,80.25,11.12,,3.22,30.0,34.5,4.0
551,Ryvon Covile,C-PF,2007-08,8.0,,,79.0,80.5,107.5,250.0,85.25,12.52,,3.37,25.0,30.5,19.0
552,Javaris Crittenton,PG,2007-08,4.5,,,75.0,76.75,98.0,194.0,77.5,11.6,,3.32,32.5,38.0,11.0
553,Jermareo Davidson,PF,2007-08,6.9,,,81.0,83.0,109.5,230.0,88.0,12.63,,3.53,27.0,30.0,7.0
554,Justin Doellman,PF,2007-08,7.0,,,80.0,81.5,105.0,205.0,80.75,,,,,,19.0
555,Zabian Dowdell,PG,2007-08,5.1,,,73.0,75.0,100.0,191.0,82.0,11.13,,3.29,30.0,33.5,3.0
556,Jared Dudley,SF,2007-08,7.1,,,77.0,79.25,102.0,219.0,79.0,11.32,,3.45,28.0,32.0,14.0
557,Kevin Durant,SF-PF,2007-08,6.6,,,81.0,82.25,110.0,215.0,88.75,12.33,,3.45,26.0,33.5,
558,Rashaun Freeman,PF,2007-08,11.5,,,78.0,80.0,104.0,244.0,83.5,11.43,,3.41,28.0,32.0,20.0
559,Aaron Gray,C,2007-08,10.8,,,84.0,85.75,108.5,271.0,87.25,12.07,,3.7,27.0,32.5,17.0
560,Caleb Green,PF,2007-08,10.9,,,78.0,80.0,103.0,238.0,83.75,11.72,,3.46,28.5,36.0,9.0
561,Jeff Green,SF,2007-08,3.7,,,79.0,81.5,103.0,228.0,85.25,12.0,,3.34,33.5,38.0,17.0
562,Taurean Green,PG,2007-08,4.6,,,71.0,72.75,96.0,173.0,74.25,11.3,,3.26,29.0,32.5,8.0
563,Spencer Hawes,PF,2007-08,13.0,,,82.0,84.75,110.0,244.0,84.5,11.88,,3.51,26.0,29.0,9.0
564,Brandon Heath,PG,2007-08,9.0,,,74.0,75.75,94.0,181.0,79.0,11.39,,3.28,32.0,36.0,11.0
565,Herbert Hill,C,2007-08,5.6,,,79.0,81.75,108.5,232.0,86.25,12.31,,3.39,30.5,34.0,15.0
566,Al Horford,PF,2007-08,9.1,,,80.0,81.75,107.0,246.0,84.75,12.15,,3.37,31.0,35.5,20.0
567,Quinton Hosley,SF-SG,2007-08,5.7,,,77.0,79.75,105.0,215.0,83.25,12.47,,3.32,28.5,34.0,12.0
568,James Hughes,C,2007-08,3.5,,,81.0,82.75,111.0,209.0,87.0,13.31,,3.37,31.0,33.0,8.0
569,Jeremy Hunt,SG,2007-08,5.2,,,74.0,76.75,101.5,198.0,80.25,12.11,,3.29,30.5,33.0,10.0
570,Ekene Ibekwe,PF,2007-08,3.2,,,80.0,81.0,104.0,208.0,90.0,11.0,,3.28,34.5,39.0,10.0
571,Dominic James,PG,2007-08,4.8,,,70.0,71.75,93.0,175.0,74.0,10.94,,3.11,33.5,38.5,14.0
572,Trey Johnson,SG,2007-08,5.4,,,75.0,77.75,98.0,216.0,77.0,11.78,,3.31,26.5,35.0,18.0
573,Rashad Jones-Jennings,PF,2007-08,5.9,,,78.0,79.5,105.5,235.0,84.0,12.18,,3.29,25.0,30.0,20.0
574,Jared Jordan,PG,2007-08,7.0,,,72.0,73.75,94.0,183.0,72.0,11.02,,3.39,24.5,28.5,6.0
575,Coby Karl,SG-PG,2007-08,5.4,,,75.0,76.75,99.5,204.0,83.0,11.57,,3.41,32.0,34.5,9.0
576,Antanas Kavaliauskas,PF,2007-08,7.7,,,81.0,82.5,106.5,237.0,82.5,11.19,,3.42,25.5,30.0,19.0
577,Carl Landry,PF,2007-08,7.5,,,79.0,80.5,102.5,248.0,83.0,11.35,,3.29,31.5,36.5,21.0
578,Stephane Lasme,PF,2007-08,4.9,,,77.0,79.0,107.0,213.0,86.0,11.73,,3.22,29.5,36.0,17.0
579,Acie Law,PG,2007-08,5.6,,,74.0,75.5,98.0,186.0,78.5,11.0,,3.22,29.0,34.0,8.0
580,Marko Lekic,C,2007-08,11.4,,,81.0,82.5,108.5,267.0,85.0,11.96,,3.43,24.0,30.5,19.0
581,Ron Lewis,SG,2007-08,4.5,,,74.0,76.5,99.0,194.0,78.5,11.59,,3.22,33.0,38.0,16.0
582,Cartier Martin,SF,2007-08,5.6,,,76.0,78.5,103.5,218.0,82.0,12.1,,3.43,27.0,29.5,11.0
583,Dominic McGuire,SF,2007-08,4.7,,,79.0,80.25,104.0,220.0,82.5,10.95,,3.25,28.5,34.5,12.0
584,Josh McRoberts,PF,2007-08,13.7,,,80.0,82.0,106.5,240.0,85.0,11.7,,3.47,27.5,31.5,12.0
585,Sammy Mejia,SG,2007-08,8.3,,,77.0,79.0,105.0,218.0,83.0,11.87,,3.49,27.0,31.5,7.0
586,Brad Newley,SG,2007-08,8.0,,,77.0,78.5,102.5,201.0,80.0,11.77,,3.29,29.5,31.5,3.0
587,Demetris Nichols,SF,2007-08,6.2,,,78.0,79.5,105.0,211.0,84.25,10.39,,3.38,28.5,32.5,16.0
588,Joakim Noah,PF,2007-08,4.8,,,82.0,84.0,106.5,223.0,85.25,11.79,,3.47,32.5,37.5,12.0
589,Greg Oden,C,2007-08,7.8,,,83.0,84.0,112.0,257.0,88.25,11.67,,3.27,32.0,34.0,
590,Ivan Radenovic,PF,2007-08,9.8,,,81.0,82.75,106.0,226.0,83.75,11.61,,3.6,23.0,28.0,7.0
591,JR Reynolds,PG,2007-08,8.2,,,72.0,74.75,95.0,188.0,75.25,11.69,,3.24,27.5,34.5,15.0
592,Chris Richard,PF,2007-08,7.5,,,79.0,80.75,110.5,252.0,88.5,11.39,,3.29,26.5,30.5,15.0
593,Dustin Salisbery,SG,2007-08,6.6,,,75.0,76.75,100.5,208.0,80.0,11.07,,3.12,34.0,38.0,11.0
594,Blake Schilb,SG,2007-08,10.0,,,77.0,79.0,102.5,214.0,81.0,11.63,,3.36,26.5,33.5,11.0
595,Renaldas Seibutis,SG,2007-08,6.1,,,76.0,77.75,101.0,185.0,80.75,11.33,,3.39,24.0,32.5,1.0
596,Ramon Sessions,PG,2007-08,6.2,,,74.0,75.75,97.5,185.0,76.25,11.65,,3.27,29.5,33.5,8.0
597,Mustafa Shakur,PG,2007-08,4.1,,,75.0,76.5,99.0,185.0,77.5,11.82,,3.27,28.5,35.0,11.0
598,Jason Smith,PF,2007-08,7.5,,,82.75,83.5,106.0,233.0,82.75,10.96,,3.29,33.5,37.5,15.0
599,DJ Strawberry,SG,2007-08,4.5,,,75.75,77.0,101.0,199.0,78.5,10.87,,3.14,28.5,35.0,21.0
600,Rodney Stuckey,SG-PG,2007-08,6.1,,,75.75,76.5,100.5,207.0,79.25,11.34,,3.11,30.5,35.0,14.0
601,Curtis Sumpter,SF,2007-08,5.3,,,78.0,79.75,104.0,227.0,81.5,11.3,,3.22,27.5,32.5,12.0
602,Yue Sun,SF,2007-08,5.1,,,79.75,80.75,105.0,212.0,81.0,10.68,,3.45,29.0,34.0,9.0
603,Jamaal Tatum,PG,2007-08,5.0,,,71.5,72.75,93.5,168.0,74.5,11.51,,3.22,28.5,33.0,7.0
604,Reyshawn Terry,SF,2007-08,8.9,,,78.75,79.5,103.5,222.0,82.0,11.76,,3.26,31.0,37.5,18.0
605,Al Thornton,SF,2007-08,5.8,,,77.75,79.0,104.0,221.0,85.0,11.96,,3.16,35.0,41.0,9.0
606,Anthony Tolliver,PF,2007-08,5.7,,,79.0,80.5,107.5,242.0,86.5,11.49,,3.29,28.5,30.0,21.0
607,Ali Traore,C-PF,2007-08,12.1,,,80.75,81.75,108.5,249.0,88.0,12.16,,3.52,25.0,29.0,11.0
608,Kyle Visser,C,2007-08,10.2,,,82.0,83.5,108.0,242.0,83.0,12.6,,3.39,26.0,29.0,18.0
609,Darryl Watkins,C,2007-08,6.9,,,80.75,82.25,110.0,241.0,87.0,11.65,,3.56,26.5,31.0,14.0
610,Major Wingate,C,2007-08,6.7,,,80.5,82.75,109.0,242.0,88.0,12.14,,3.47,27.5,30.5,15.0
611,DaShaun Wood,PG,2007-08,5.4,,,70.75,71.5,92.0,167.0,72.75,11.4,,3.23,31.5,34.5,13.0
612,Julian Wright,SF-PF,2007-08,6.1,,,78.5,80.5,108.0,211.0,86.25,11.48,,3.36,28.5,33.5,2.0
613,Brandan Wright,PF,2007-08,5.8,,,80.75,82.0,108.5,200.0,87.75,11.76,,3.31,30.5,35.5,2.0
614,Avis Wyatt,PF,2007-08,3.3,,,80.75,81.5,107.0,212.0,85.0,11.46,,3.23,27.5,32.0,12.0
615,Nick Young,SG-SF,2007-08,6.8,,,77.0,78.75,100.5,206.0,84.0,11.0,,3.25,39.5,40.5,6.0
616,Thaddeus Young,SF,2007-08,4.9,,,77.75,79.5,106.0,210.0,83.5,11.06,,3.19,34.5,37.0,13.0
617,Joe Alexander,SF-PF,2008-09,5.8,,,79.25,80.25,106.0,220.0,83.5,11.33,,2.99,32.5,38.5,24.0
618,Darrell Arthur,PF,2008-09,7.3,,,79.5,80.5,107.0,216.0,82.75,12.18,,3.14,28.5,30.0,12.0
619,D.J. Augustin,PG,2008-09,8.1,,,70.0,71.5,94.5,171.5,75.5,11.27,,3.07,28.5,35.0,2.0
620,Jerryd Bayless,PG-SG,2008-09,4.7,,,73.75,75.0,97.0,204.0,75.5,11.26,,3.07,31.0,38.0,10.0
621,Michael Beasley,PF-SF,2008-09,7.7,,,79.0,80.25,107.0,239.0,84.25,11.06,,3.24,30.0,35.0,19.0
622,Ramel Bradley,PG-SG,2008-09,5.7,,,73.25,74.25,98.0,184.0,77.0,10.68,,3.24,24.5,29.5,9.0
623,Tyrone Brazelton,PG,2008-09,8.1,,,70.0,71.0,94.0,166.0,73.75,11.59,,3.25,30.0,34.0,8.0
624,Takais Brown,PF,2008-09,9.2,,,79.25,80.5,106.0,252.0,82.0,12.47,,3.25,29.0,31.0,22.0
625,Keith Brumbaugh,SF-PF,2008-09,4.0,,,79.5,80.75,104.5,190.0,79.25,11.65,,3.28,26.0,27.0,2.0
626,Stanley Burrell,PG,2008-09,5.6,,,73.5,74.5,97.5,201.0,78.25,11.19,,3.19,29.5,34.5,21.0
627,Brian Butch,C-PF,2008-09,10.8,,,81.5,83.0,108.0,229.6,83.25,11.87,,3.52,24.0,26.5,9.0
628,Jamar Butler,PG,2008-09,6.0,,,72.25,73.5,97.0,182.0,76.75,,,,,,15.0
629,Pat Calathes,SF-PF,2008-09,7.3,,,80.75,81.75,106.0,204.0,81.75,,,,,,7.0
630,Joe Crawford,SG,2008-09,7.6,,,75.0,76.0,99.5,213.0,77.75,11.67,,3.22,31.0,36.0,13.0
631,Chris Daniels,C-PF,2008-09,16.1,,,80.25,81.5,109.0,256.0,84.5,12.72,,3.56,26.0,28.5,11.0
632,Joey Dorsey,PF-C,2008-09,9.0,,,78.25,79.25,107.0,265.0,85.75,11.84,,3.2,27.5,33.0,19.0
633,Marcus Dove,SF-PF,2008-09,5.3,,,78.75,79.5,105.0,208.0,83.5,11.59,,3.26,27.5,33.5,10.0
634,Josh Duncan,PF,2008-09,5.4,,,80.0,81.0,104.5,230.0,83.5,12.47,,3.26,28.0,32.0,26.0
635,Frank Elegar,PF,2008-09,4.5,,,79.25,80.75,106.0,210.0,87.25,11.86,,3.17,33.5,37.5,11.0
636,Patrick Ewing Jr.,SF-PF,2008-09,9.4,,,78.0,79.25,97.5,224.0,84.25,11.77,,3.43,35.0,42.0,2.0
637,Gary Forbes,SG,2008-09,6.5,,,76.5,77.75,104.5,220.5,83.25,11.45,,3.25,27.5,33.5,13.0
638,Shan Foster,SG,2008-09,6.3,,,76.0,77.25,103.5,194.5,83.5,12.3,,3.24,30.0,33.0,10.0
639,J.R. Giddens,SG,2008-09,5.4,,,76.0,76.75,103.0,208.0,83.25,,,,,,10.0
640,James Gist,PF,2008-09,4.8,,,79.0,80.5,107.5,220.0,88.0,11.37,,3.14,30.5,35.0,5.0
641,Vladimir Golubovic,C,2008-09,6.9,,,83.25,84.25,111.5,258.0,86.5,12.4,,3.33,21.5,27.0,15.0
642,Eric Gordon,SG,2008-09,8.2,,,74.0,75.25,99.0,222.0,81.0,10.81,,3.01,32.0,40.0,15.0
643,Kentrell Gransberry,C,2008-09,17.4,,,78.75,79.75,106.0,290.0,82.25,12.16,,3.32,24.5,27.5,18.0
644,Donte Greene,SF-PF,2008-09,7.6,,,80.25,81.0,108.0,221.0,82.0,11.21,,3.2,27.5,31.5,2.0
645,Malik Hairston,SG,2008-09,6.9,,,76.25,77.25,103.5,204.0,81.0,11.33,,3.08,30.5,38.0,13.0
646,DeVon Hardin,C-PF,2008-09,5.8,,,81.5,82.75,109.5,235.0,87.0,11.49,,3.33,29.5,32.0,20.0
647,Richard Hendrix,PF,2008-09,9.2,,,78.75,80.75,108.0,250.0,87.0,10.62,,3.27,26.5,28.0,13.0
648,George Hill,PG,2008-09,3.0,,,73.25,74.5,97.5,181.0,81.0,12.2,,3.07,34.0,37.5,9.0
649,Kyle Hines,SF-PF,2008-09,3.6,,,75.75,77.25,104.5,234.0,85.25,12.17,,3.4,28.5,33.0,16.0
650,Jiri Hubalek,C-PF,2008-09,8.8,,,81.5,83.0,109.0,226.0,82.75,12.26,,3.54,20.5,26.0,2.0
651,Lester Hudson,PG,2008-09,3.4,,,71.75,73.0,98.5,196.0,80.75,11.15,,3.16,30.5,36.0,12.0
652,Othello Hunter,PF-SF,2008-09,6.4,,,78.5,79.5,109.5,220.0,87.0,11.51,,3.18,28.0,34.5,7.0
