,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
92,Benjamin Eze,C-PF,2001-02,3.9,,,80.75,,109.0,232.0,90.0,13.05,,3.36,29.0,32.0,14.0
93,Kimani Ffriend,C-PF,2001-02,11.7,,,81.5,,108.5,228.0,82.75,11.46,,3.09,32.0,33.0,9.0
94,Alton Ford,PF,2001-02,8.0,,,80.25,,102.5,271.0,82.5,11.7,,3.16,34.5,36.5,21.0
95,Joseph Forte,SG,2001-02,,,,75.5,,100.5,193.0,78.5,11.51,,3.19,26.5,33.0,10.0
96,Jason Gardner,PG,2001-02,8.0,,,69.75,,92.5,188.0,73.25,10.88,,2.92,34.5,40.0,9.0
97,Jerry Green,PG-SG,2001-02,5.5,,,73.5,,99.0,179.0,78.25,11.7,,3.17,28.5,35.0,13.0
98,Kenny Gregory,SF,2001-02,6.7,,,75.5,,101.0,200.0,83.25,11.33,,3.1,39.5,45.5,10.0
99,Eddie Griffin,PF-SF,2001-02,4.0,,,81.25,,110.0,222.0,87.0,11.77,,3.21,26.5,33.0,3.0
100,Trenton Hassell,SG-SF,2001-02,5.3,,,76.25,,99.5,205.0,80.0,11.57,,3.29,35.5,37.5,12.0
101,Kirk Haston,PF-SF,2001-02,10.5,,,80.0,,106.0,242.0,84.25,12.25,,3.35,27.0,31.5,11.0
102,Charles Hathaway,C,2001-02,,,,80.0,,107.5,274.0,86.0,,,,,,
103,Brendan Haywood,C,2001-02,12.9,,,83.75,,113.5,266.0,90.5,12.87,,3.5,27.0,28.5,17.0
104,Michael Hicks,SG,2001-02,7.3,,,76.0,,100.5,197.0,81.25,11.38,,3.19,33.0,40.5,13.0
105,Steven Hunter,C-PF,2001-02,5.3,,,82.25,,108.0,224.0,88.0,11.99,,3.15,30.5,38.5,11.0
106,Andre Hutson,PF,2001-02,11.7,,,80.25,,105.5,244.0,83.75,11.25,,3.3,29.0,32.5,17.0
107,Nate James,SF,2001-02,6.0,,,76.75,,103.0,196.0,82.75,11.42,,3.31,26.0,31.0,23.0
108,Richard Jefferson,SF,2001-02,6.7,,,79.25,,103.0,223.0,84.0,11.19,,3.15,33.0,38.5,14.0
109,Horace Jenkins,PG,2001-02,6.0,,,71.75,,97.0,171.0,77.25,10.97,,3.1,34.5,41.0,2.0
110,Darrell Johns,C,2001-02,19.1,,,83.25,,111.5,278.0,89.0,12.41,,3.59,23.5,30.0,18.0
111,Ken Johnson,C,2001-02,9.9,,,82.75,,109.5,227.0,88.0,11.27,,3.12,32.5,35.0,13.0
112,Joe Johnson,SF-SG,2001-02,6.7,,,78.75,,105.0,226.0,81.0,12.05,,3.4,32.5,36.5,12.0
113,Darren Kelly,SG-PG,2001-02,6.7,,,74.0,,100.0,178.0,78.75,11.38,,3.21,30.5,34.5,1.0
114,Sean Lampley,SF,2001-02,8.0,,,77.5,,101.0,213.0,81.25,11.06,,3.12,36.0,40.0,12.0
115,Zach Marbury,PG-SG,2001-02,6.7,,,73.25,,96.5,183.0,75.5,11.53,,3.1,33.0,36.5,
116,Mike Mardesich,C-PF,2001-02,13.6,,,82.25,,108.5,247.0,84.5,11.65,,3.45,24.0,30.0,8.0
117,DeMarcus Minor,SG,2001-02,6.7,,,75.25,,99.5,207.0,80.25,10.57,,3.15,29.0,41.0,9.0
118,Jamario Moon,SF,2001-02,5.3,,,78.5,,103.0,185.0,83.5,11.64,,3.08,33.0,43.0,
119,Troy Murphy,PF,2001-02,11.7,,,81.75,,105.5,230.0,83.0,11.22,,3.43,28.5,34.5,11.0
120,Troy Ostler,PF-SF,2001-02,8.0,,,80.75,,106.5,200.0,85.5,13.42,,3.5,26.5,29.5,2.0
121,Lazaros Papadopoulos,C-PF,2001-02,11.7,,,82.25,,110.5,227.0,86.5,12.0,,3.7,23.0,26.0,4.0
122,Rashad Phillips,PG,2001-02,12.4,,,69.0,,92.0,166.0,73.5,11.93,,3.27,27.0,32.0,5.0
123,Demetrius Porter,PG,2001-02,12.4,,,70.75,,94.0,178.0,74.75,11.5,,3.34,26.0,31.0,5.0
124,Martin Rancik,PF-SF,2001-02,8.0,,,80.75,,102.5,230.0,80.0,10.77,,3.19,32.0,37.0,14.0
125,Jason Richardson,SF-SG,2001-02,5.3,,,76.75,,102.5,213.0,83.5,11.75,,3.12,32.5,39.5,15.0
126,Norman Richardson,SG,2001-02,6.0,,,75.5,,99.0,180.0,76.5,10.97,,3.15,30.5,35.5,2.0
127,Jeryl Sasser,PG-SG,2001-02,6.7,,,77.5,,103.5,194.0,82.5,11.47,,3.22,29.0,34.0,1.0
128,Kenny Satterfield,PG,2001-02,6.7,,,73.0,,98.0,176.0,76.5,12.05,,3.2,28.5,33.0,3.0
129,Brian Scalabrine,PF-SF,2001-02,13.6,,,80.75,,105.5,241.0,81.75,11.75,,3.47,27.0,30.5,14.0
130,Lee Scruggs,PF-SF,2001-02,10.5,,,82.25,,110.5,209.0,89.75,13.28,,3.55,23.5,29.5,
131,Bobby Simmons,SF,2001-02,6.7,,,78.25,,105.0,235.0,84.25,11.69,,3.41,27.5,34.0,12.0
132,Will Solomon,PG-SG,2001-02,4.0,,,71.75,,99.5,172.0,81.5,11.3,,3.22,28.5,35.0,4.0
133,Greg Stevenson,SF,2001-02,7.3,,,75.75,,102.0,215.0,84.5,11.29,,3.23,30.0,35.5,15.0
