,Season,Team,W,G,L,W%,FG%,2P%,3P%,FT%,TS%,eFG%,MP/G,FG/G,FGA/G,2P/G,2PA/G,3P/G,3PA/G,FT/G,FTA/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
173,1991,UTA,55,82,27,0.671,0.492,0.503,0.345,0.788,0.557,50.364,242.4390243902439,41.207317073170735,83.73170731707317,39.28048780487805,78.14634146341463,1.9268292682926829,5.585365853658536,23.914634146341463,30.365853658536587,13.378048780487806,31.01219512195122,44.390243902439025,26.682926829268293,8.71951219512195,5.463414634146342,15.414634146341463,21.29268292682927,108.2560975609756
174,1990,PHO,55,82,27,0.671,0.496,0.508,0.319,0.77,0.558,50.59,240.609756097561,43.573170731707314,87.79268292682927,41.890243902439025,82.52439024390245,1.6829268292682926,5.2682926829268295,25.170731707317074,32.68292682926829,13.804878048780488,31.682926829268293,45.48780487804878,26.9390243902439,8.378048780487806,6.524390243902439,15.878048780487806,22.5609756097561,114.0
175,1990,SAS,55,82,27,0.671,0.488,0.497,0.273,0.766,0.544,49.363,241.82926829268294,41.573170731707314,85.21951219512195,40.58536585365854,81.59756097560975,0.9878048780487805,3.6219512195121952,22.963414634146343,29.98780487804878,13.792682926829269,32.40243902439025,46.19512195121951,26.097560975609756,8.170731707317072,6.963414634146342,17.621951219512194,23.121951219512194,107.09756097560975
176,1989,CHI,55,82,27,0.671,0.498,0.511,0.374,0.778,0.559,51.566,241.82926829268294,43.0609756097561,86.46341463414635,40.01219512195122,78.3048780487805,3.048780487804878,8.158536585365853,20.304878048780488,26.097560975609756,13.109756097560975,27.79268292682927,40.90243902439025,26.48780487804878,9.926829268292684,4.7317073170731705,15.207317073170731,23.24390243902439,109.47560975609755
177,1989,UTA,55,82,27,0.671,0.505,0.521,0.359,0.754,0.57,52.222,241.82926829268294,40.609756097560975,80.40243902439025,37.853658536585364,72.71951219512195,2.7560975609756095,7.682926829268292,22.853658536585368,30.29268292682927,11.621951219512194,30.5,42.1219512195122,26.975609756097562,8.25609756097561,5.987804878048781,17.195121951219512,24.76829268292683,106.82926829268293
178,1988,PHO,55,82,27,0.671,0.498,0.508,0.349,0.791,0.56,50.868,240.91463414634146,45.78048780487805,92.01219512195122,43.73170731707317,86.14634146341463,2.048780487804878,5.865853658536586,25.01219512195122,31.634146341463413,13.353658536585366,31.9390243902439,45.292682926829265,27.804878048780488,8.451219512195122,5.073170731707317,15.597560975609756,23.573170731707318,118.6219512195122
179,1986,DAL,55,82,27,0.671,0.487,0.5,0.354,0.791,0.558,50.312,242.4390243902439,43.829268292682926,89.91463414634147,41.01219512195122,81.95121951219512,2.817073170731707,7.963414634146342,26.195121951219512,33.13414634146341,14.865853658536585,30.414634146341463,45.28048780487805,24.597560975609756,8.390243902439025,5.170731707317073,14.695121951219512,22.841463414634145,116.67073170731707
180,1981,MIL,55,82,27,0.671,0.505,0.51,0.299,0.753,0.553,50.87,241.52439024390245,43.21951219512195,85.54878048780488,42.6219512195122,83.54878048780488,0.5975609756097561,2.0,21.378048780487806,28.402439024390244,14.231707317073171,29.451219512195124,43.68292682926829,27.23170731707317,9.304878048780488,5.548780487804878,19.378048780487806,27.817073170731707,108.41463414634147
181,1979,PHO,55,82,27,0.671,0.493,0.504,0.243,0.773,0.548,49.813,240.91463414634146,43.53658536585366,88.23170731707317,42.707317073170735,84.8170731707317,0.8292682926829268,3.4146341463414633,23.24390243902439,30.073170731707318,13.060975609756097,29.975609756097562,43.03658536585366,27.841463414634145,11.073170731707316,4.195121951219512,19.865853658536587,22.597560975609756,111.14634146341463
182,2022,PHI,54,82,28,0.659,0.487,0.551,0.387,0.835,0.608,56.252,242.4390243902439,40.81707317073171,83.78048780487805,28.195121951219512,51.15853658536585,12.621951219512194,32.6219512195122,20.963414634146343,25.097560975609756,8.71951219512195,32.207317073170735,40.926829268292686,25.158536585365855,7.7439024390243905,4.7439024390243905,13.670731707317072,20.426829268292682,115.21951219512195
