player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Teddy Dupay,PG,10.53,-,3.19,28.0,33.0,16,2002-03
Corsley Edwards,PF,12.18,-,3.31,28.5,33.0,12,2002-03
Andy Ellis,PF,11.69,-,3.34,32.0,35.5,6,2002-03
Melvin Ely,PF,11.96,-,3.35,26.0,29.0,7,2002-03
Reggie Evans,PF,12.73,-,3.26,26.0,29.5,15,2002-03
Peter Fehse,PF-C,-,-,-,-,-,-,2002-03
Drew Gooden,PF,11.81,-,3.19,29.0,33.0,13,2002-03
David Graves,SG,11.20,-,3.27,26.0,29.5,8,2002-03
Lynn Greer,PG,11.24,-,3.16,29.5,36.5,12,2002-03
Rod Grizzard,SF-SG,-,-,-,-,-,6,2002-03
Anthony Grundy,PG-SG,11.10,-,3.39,27.5,32.0,-,2002-03
Marcus Haislip,PF,11.35,-,3.21,33.5,36.5,8,2002-03
Damon Hancock,SG-PG,11.62,-,3.03,32.0,35.0,15,2002-03
Greg Harrington,PG,12.06,-,3.32,28.5,34.0,15,2002-03
Udonis Haslem,PF,11.80,-,3.31,28.5,33.5,22,2002-03
Cordell Henry,PG,11.30,-,3.04,33.0,37.5,1,2002-03
Randy Holcomb,SF-PF,12.85,-,3.22,29.5,35.5,15,2002-03
Ryan Humphrey,PF-SF,11.75,-,3.20,31.5,37.5,13,2002-03
Jared Jeffries,PF,11.73,-,3.40,26.0,30.0,9,2002-03
Jason Jennings,C,11.92,-,3.62,29.0,32.0,8,2002-03
Fred Jones,SG,11.12,-,3.13,33.5,37.5,-,2002-03
Lonnie Jones,C-PF,11.80,-,3.33,30.5,31.5,15,2002-03
Mario Kasun,C,-,-,-,-,-,12,2002-03
Sean Kennedy,PG,11.64,-,3.28,22.5,26.5,-,2002-03
Kris Lang,C-PF,11.36,-,3.24,28.0,29.0,19,2002-03
Muhammed Lasege,C-PF,12.96,-,3.29,27.5,30.0,18,2002-03
Steve Logan,PG,-,-,-,-,-,11,2002-03
Kevin Lyde,C-PF,12.97,-,3.36,27.5,30.5,13,2002-03
Tito Maddox,PG,12.20,-,3.24,27.0,32.5,-,2002-03
Kei Madison,SF,11.74,-,3.22,27.5,34.5,6,2002-03
Chris Massie,PF,-,-,-,-,-,-,2002-03
Immanuel McElroy,SG,-,-,-,-,-,9,2002-03
Aaron McGhee,PF-SF,12.24,-,-,26.0,28.5,-,2002-03
Elvin Mims,SF-SG,11.17,-,3.22,32.0,38.0,7,2002-03
Byron Mouton,SG-SF,11.84,-,3.10,24.0,30.0,7,2002-03
Ronald Murray,SG,11.13,-,3.16,31.0,36.5,9,2002-03
Uche Okafor,PF-C,14.45,-,3.34,24.5,25.0,10,2002-03
Chris Owens,PF-SF,-,-,-,-,-,10,2002-03
Jannero Pargo,PG,11.11,-,3.20,25.5,29.5,5,2002-03
Smush Parker,PG-SG,12.30,-,3.26,21.0,28.5,1,2002-03
Luke Recker,SG-SF,10.78,-,3.27,25.5,31.0,13,2002-03
Rolan Roberts,PF,11.36,-,3.33,32.5,37.5,16,2002-03
Travis Robinson,SF,11.96,-,3.43,26.0,33.0,3,2002-03
Kareem Rush,SG-SF,11.86,-,3.22,26.0,30.0,15,2002-03
Brooks Sales,PF-C,11.05,-,3.29,26.0,29.5,13,2002-03
John Salmons,SF-SG,11.35,-,3.25,30.5,34.5,12,2002-03
Predrag Savovic,SG,10.94,-,3.38,22.5,28.5,13,2002-03
Julian Sensley,PF-SF,11.85,-,3.32,27.5,31.5,8,2002-03
Israel Sheinfeld,PF-C,-,-,-,-,-,8,2002-03
Preston Shumpert,SF,11.03,-,3.24,28.5,29.0,9,2002-03
Tamar Slay,SF,10.94,-,3.09,32.5,38.0,11,2002-03
Darius Songaila,PF,11.69,-,3.52,24.5,29.5,8,2002-03
Amar'e Stoudemire,PF,11.19,-,3.25,32.0,35.5,12,2002-03
Marcus Taylor,PG,11.25,-,3.31,27.5,33.5,4,2002-03
Jobey Thomas,SG,11.46,-,3.30,26.0,32.0,13,2002-03
Dajuan Wagner,PG-SG,12.03,-,3.22,28.0,35.0,16,2002-03
Chris Wilcox,PF-C,11.43,-,3.16,31.0,34.5,20,2002-03
Frank Williams,PG,11.73,-,3.29,26.0,31.0,-,2002-03
George Williams,PF-SF,11.21,-,3.24,33.5,39.0,11,2002-03
Jay Williams,PG,10.34,-,3.09,28.5,36.0,10,2002-03
Qyntel Woods,SF-SG,11.94,-,3.23,33.5,34.5,2,2002-03
Vincent Yarbrough,SF,11.70,-,3.32,30.0,34.0,10,2002-03
Aloysius Anagonye,PF,12.93,-,3.30,31.0,34.5,6,2003-04
Rick Anderson,SF-PF,11.23,-,3.40,26.0,30.5,6,2003-04
Carmelo Anthony,SF,11.40,-,3.15,30.5,33.5,7,2003-04
Jerome Beasley,SF-PF,11.36,-,3.25,27.0,32.0,10,2003-04
Troy Bell,PG,10.89,-,3.06,34.5,41.0,17,2003-04
LaVell Blanchard,SF,11.64,-,3.38,33.5,36.5,12,2003-04
Keith Bogans,SG,11.43,-,3.25,29.5,35.0,10,2003-04
Matt Bonner,PF-SF,11.52,-,3.32,27.0,32.0,20,2003-04
Chris Bosh,PF,11.80,-,3.30,30.5,33.0,9,2003-04
Jermaine Boyette,PG-SG,11.20,-,3.07,29.0,35.5,14,2003-04
Souleymane Camara,PF-SF,11.51,-,3.20,28.5,34.5,2,2003-04
Matt Carroll,SG-SF,11.11,-,3.35,29.0,33.5,13,2003-04
Nick Collison,PF,11.62,-,3.28,28.0,33.0,8,2003-04
Brian Cook,PF-SF,11.87,-,3.45,25.0,29.0,6,2003-04
Joel Cornette,PF-SF,11.27,-,3.14,26.0,32.5,13,2003-04
Marquis Daniels,SG-PG,11.62,-,3.25,30.5,35.0,6,2003-04
Aleksander Djuric,C-PF,11.97,-,3.65,23.5,27.5,3,2003-04
Ruben Douglas,SG,11.95,-,3.27,28.5,35.0,9,2003-04
Ronald Dupree,SF-SG,11.09,-,3.23,37.5,41.5,11,2003-04
Carl English,SG-PG,11.77,-,3.32,28.0,34.0,11,2003-04
Ebi Ere,SG,11.38,-,3.16,29.5,33.5,-,2003-04
Marquis Estill,PF-C,12.92,-,3.31,30.0,36.0,7,2003-04
T.J. Ford,PG,11.45,-,3.20,32.5,39.5,-,2003-04
Jason Gardner,PG,10.62,-,3.17,30.5,35.0,10,2003-04
Willie Green,SG-PG,11.86,-,3.19,28.5,28.5,13,2003-04
Justin Hamilton,PG-SG,11.18,-,3.18,30.0,37.5,17,2003-04
Travis Hansen,SG,10.72,-,3.18,31.5,35.0,16,2003-04
Trevor Harvey,C-PF,11.85,-,3.32,29.5,32.0,11,2003-04
Marcus Hatten,PG,11.50,-,3.15,29.5,37.5,7,2003-04
Kirk Hinrich,PG-SG,10.98,-,3.10,29.0,33.5,10,2003-04
Jerry Holman,PF,11.54,-,3.24,33.0,37.5,11,2003-04
Sam Hoskin,PF,-,-,-,-,-,24,2003-04
Josh Howard,SF-SG,10.89,-,3.09,33.0,36.5,4,2003-04
Brandon Hunter,PF,11.13,-,3.21,32.5,35.0,25,2003-04
Sani Ibrahim,C-PF,13.02,-,3.40,26.0,30.5,12,2003-04
Michael Ignerski,PF-SF,11.21,-,3.13,26.5,33.0,10,2003-04
Robert Jackson,PF-C,11.26,-,3.25,23.5,26.0,15,2003-04
LeBron James,SF-SG,-,-,-,-,-,-,2003-04
Britton Johnsen,SF-PF,10.67,-,3.08,26.5,32.5,13,2003-04
James Jones,SF,11.18,-,3.19,30.5,33.0,9,2003-04
Dahntay Jones,SG-SF,10.91,-,3.11,30.0,39.5,-,2003-04
Chris Kaman,C-PF,11.33,-,3.37,23.5,30.5,15,2003-04
Jason Kapono,SG-SF,11.04,-,3.38,23.5,30.0,8,2003-04
Jason Keep,C-PF,11.18,-,3.30,29.5,34.0,27,2003-04
Bernard King,SG-PG,11.37,-,3.18,28.0,33.5,11,2003-04
Brandin Knight,PG,-,-,-,-,-,6,2003-04
Kyle Korver,SF,11.42,-,3.47,25.5,31.5,13,2003-04
James Lang,C-PF,14.01,-,3.55,24.5,32.0,8,2003-04
Donald Little,PF-C,11.18,-,3.20,33.0,37.0,18,2003-04
Chris Marcus,C,-,-,-,-,-,12,2003-04
Chris Massie,PF-C,12.48,-,3.22,26.5,33.0,13,2003-04
Will McDonald,C-PF,11.83,-,3.42,25.0,32.5,17,2003-04
Darko Milicic,PF,11.30,-,3.36,26.5,32.5,13,2003-04
