,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Shooting,Team Shooting,Team Shooting,Team Shooting,Team Shooting,Team Shooting
Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
600,1993-94,DEN,42,82,42,40,.512,19755,3156,6781,2986,6184,170,597,1739,2423,1105,2557,3662,1763,679,686,1422,1926,8221,.465,.483,.285,.718,.524,47.795
Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
601,1991-92,HOU,42,82,42,40,.512,19880,3273,6894,2944,5935,329,959,1491,2020,1074,2432,3506,2058,656,571,1378,1769,8366,.475,.496,.343,.738,.537,49.862
602,1989-90,CLE,42,82,42,40,.512,19880,3214,6977,2868,6126,346,851,1637,2201,1128,2380,3508,2106,645,512,1243,1666,8411,.461,.468,.407,.744,.529,48.545
603,1989-90,IND,42,82,42,40,.512,19880,3381,6807,3087,6037,294,770,1906,2335,940,2388,3328,2023,552,350,1342,1972,8962,.497,.511,.382,.816,.572,51.829
604,1988-89,BOS,42,82,42,40,.512,19780,3520,7143,3442,6834,78,309,1840,2349,1179,2442,3621,2189,639,418,1336,1876,8958,.493,.504,.252,.783,.548,49.825
605,1987-88,CLE,42,82,42,40,.512,19780,3313,6755,3186,6419,127,336,1813,2438,1015,2289,3304,2070,733,526,1439,1836,8566,.490,.496,.378,.744,.547,49.985
606,1987-88,MIL,42,82,42,40,.512,19780,3366,7079,3233,6669,133,410,1832,2364,1117,2335,3452,2194,671,380,1275,1989,8697,.475,.485,.324,.775,.536,48.488
607,1986-87,GSW,42,82,42,40,.512,19905,3551,7412,3435,7048,116,364,1970,2526,1193,2351,3544,2083,715,321,1354,2138,9188,.479,.487,.319,.780,.539,48.691
608,1986-87,HOU,42,82,42,40,.512,19780,3465,7262,3376,6938,89,324,1746,2355,1190,2481,3671,2227,654,555,1384,1973,8765,.477,.487,.275,.741,.528,48.327
609,1986-87,WSB,42,82,42,40,.512,19705,3356,7397,3313,7179,43,218,1935,2531,1305,2315,3620,1750,755,685,1301,1775,8690,.454,.461,.197,.765,.511,45.660
610,1985-86,UTA,42,82,42,40,.512,19780,3453,7083,3418,6914,35,169,1930,2694,1068,2479,3547,2199,717,666,1518,2038,8871,.488,.494,.207,.716,.536,48.998
611,1984-85,NJN,42,82,42,40,.512,19755,3646,7445,3594,7221,52,224,1631,2237,1233,2325,3558,2163,772,415,1355,2011,8975,.490,.498,.232,.729,.532,49.322
612,1984-85,POR,42,82,42,40,.512,19880,3708,7374,3657,7172,51,202,2002,2667,1202,2298,3500,2225,821,516,1481,1957,9469,.503,.510,.252,.751,.554,50.631
613,1983-84,SEA,42,82,42,40,.512,19780,3460,7083,3433,6943,27,140,1918,2460,1064,2332,3396,2233,636,350,1360,1884,8865,.488,.494,.193,.780,.543,49.040
614,1982-83,WSB,42,82,42,40,.512,19805,3306,7059,3236,6822,70,237,1452,2059,1099,2430,3529,2046,733,400,1588,1958,8134,.468,.474,.295,.705,.511,47.330
615,1981-82,ATL,42,82,42,40,.512,19880,3210,6776,3182,6648,28,128,1833,2387,1135,2368,3503,1815,608,485,1343,2268,8281,.474,.479,.219,.768,.529,47.580
616,1981-82,POR,42,82,42,40,.512,19780,3629,7187,3600,7047,29,140,1719,2387,1142,2355,3497,2054,706,367,1390,2012,9006,.505,.511,.207,.720,.547,50.696
617,2023-24,HOU,41,82,41,41,.500,19855,3425,7459,2382,4495,1043,2964,1482,1916,940,2787,3727,2035,639,375,1045,1702,9375,.459,.530,.352,.773,.565,52.909
618,2022-23,ATL,41,82,41,41,.500,19855,3658,7574,2776,5069,882,2505,1513,1850,920,2719,3639,2049,580,401,1060,1541,9711,.483,.548,.352,.818,.579,54.119
619,2022-23,TOR,41,82,41,41,.500,19805,3434,7489,2554,4863,880,2626,1506,1922,1043,2485,3528,1961,772,424,956,1641,9254,.459,.525,.335,.784,.555,51.729
620,2020-21,ATL,41,72,41,31,.569,17405,2937,6281,2042,3879,895,2402,1417,1745,760,2525,3285,1737,503,342,953,1392,8186,.468,.526,.373,.812,.581,53.885
621,2020-21,NYK,41,72,41,31,.569,17430,2839,6225,1992,4062,847,2163,1181,1506,696,2554,3250,1541,507,365,932,1473,7706,.456,.490,.392,.784,.559,52.410
622,2018-19,DET,41,82,41,41,.500,19855,3185,7238,2192,4384,993,2854,1415,1893,936,2752,3688,1845,569,331,1135,1811,8778,.440,.500,.348,.747,.544,50.863
623,2016-17,CHI,41,82,41,41,.500,19780,3169,7141,2546,5310,623,1831,1474,1848,999,2797,3796,1851,643,393,1112,1455,8435,.444,.479,.340,.798,.530,48.740
624,2016-17,MIA,41,82,41,41,.500,19780,3202,7037,2394,4824,808,2213,1248,1768,872,2705,3577,1742,588,469,1102,1680,8460,.455,.496,.365,.706,.541,51.243
625,2016-17,POR,41,82,41,41,.500,19930,3243,7059,2391,4787,852,2272,1513,1940,830,2750,3580,1733,574,408,1126,1736,8851,.459,.499,.375,.780,.559,51.976
626,2015-16,HOU,41,82,41,41,.500,19830,3094,6847,2216,4314,878,2533,1671,2407,930,2601,3531,1821,821,430,1307,1790,8737,.452,.514,.347,.694,.553,51.599
627,2015-16,WAS,41,82,41,41,.500,19755,3238,7033,2529,5050,709,1983,1349,1849,743,2688,3431,2005,708,323,1186,1708,8534,.460,.501,.358,.730,.544,51.081
628,2014-15,MIL,41,82,41,41,.500,19930,3083,6722,2538,5222,545,1500,1312,1734,876,2574,3450,1932,789,403,1373,1814,8023,.459,.486,.363,.757,.536,49.918
629,2012-13,BOS,41,81,41,40,.506,19840,3001,6459,2503,5069,498,1390,1318,1698,654,2533,3187,1843,667,365,1181,1717,7818,.465,.494,.358,.776,.542,50.317
630,2012-13,DAL,41,82,41,41,.500,19980,3182,6892,2576,5264,606,1628,1323,1669,767,2670,3437,1906,648,454,1144,1698,8293,.462,.489,.372,.793,.544,50.566
631,2011-12,LAL,41,66,41,25,.621,16065,2429,5319,2067,4207,362,1112,1202,1589,799,2251,3050,1485,390,351,997,1109,6422,.457,.491,.326,.756,.534,49.069
632,2011-12,MEM,41,66,41,25,.621,15940,2425,5422,2148,4573,277,849,1142,1504,831,1944,2775,1290,631,345,955,1316,6269,.447,.470,.326,.759,.515,47.280
633,2010-11,PHI,41,82,41,41,.500,19930,3125,6776,2682,5528,443,1248,1426,1851,850,2578,3428,1861,621,355,1063,1592,8119,.461,.485,.355,.770,.535,49.388
634,2009-10,CHI,41,82,41,41,.500,19905,3081,6825,2729,5759,352,1066,1479,1962,937,2715,3652,1704,531,478,1175,1648,7993,.451,.474,.330,.754,.520,47.722
635,2008-09,CHI,41,82,41,41,.500,19930,3126,6846,2633,5553,493,1293,1633,2052,970,2481,3451,1732,615,453,1192,1709,8378,.457,.474,.381,.796,.541,49.262
636,2008-09,PHI,41,82,41,41,.500,19755,2997,6532,2656,5460,341,1072,1652,2216,1039,2336,3375,1647,658,415,1157,1650,7987,.459,.486,.318,.745,.532,48.492
637,2007-08,POR,41,82,41,41,.500,19905,2935,6546,2397,5120,538,1426,1412,1841,901,2438,3339,1733,455,360,1056,1642,7820,.448,.468,.377,.767,.532,48.946
638,2007-08,TOR,41,82,41,41,.500,19830,3148,6726,2576,5267,572,1459,1347,1658,790,2496,3286,1953,570,336,959,1596,8215,.468,.489,.392,.812,.551,51.056
639,2006-07,NJN,41,82,41,41,.500,19880,2913,6379,2304,4703,609,1676,1566,2153,822,2525,3347,1962,499,273,1212,1869,8001,.457,.490,.363,.727,.546,50.439
640,2006-07,WAS,41,82,41,41,.500,19830,3070,6820,2509,5206,561,1614,1855,2425,998,2379,3377,1660,635,375,1133,1823,8556,.450,.482,.348,.765,.542,49.128
641,2005-06,CHI,41,82,41,41,.500,19905,3004,6737,2444,5260,560,1477,1452,1967,906,2602,3508,1804,508,345,1224,2038,8020,.446,.465,.379,.738,.527,48.746
642,2005-06,IND,41,82,41,41,.500,19730,2786,6274,2250,4738,536,1536,1591,2158,898,2559,3457,1631,598,409,1254,1821,7699,.444,.475,.349,.737,.533,48.677
643,2005-06,UTA,41,82,41,41,.500,19880,2744,6207,2433,5282,311,925,1774,2466,1071,2380,3451,1772,524,492,1290,2032,7573,.442,.461,.336,.719,.519,46.713
644,2003-04,MIL,41,82,41,41,.500,19780,2970,6650,2569,5505,401,1145,1698,2192,960,2502,3462,1872,554,383,1110,1668,8039,.447,.467,.350,.775,.528,47.677
645,2003-04,NOH,41,82,41,41,.500,19830,2772,6605,2241,4939,531,1666,1454,1937,1091,2418,3509,1716,708,346,1228,1715,7529,.420,.454,.319,.751,.505,45.988
646,2003-04,POR,41,82,41,41,.500,19980,2898,6467,2517,5365,381,1102,1263,1728,1040,2376,3416,1768,613,443,1213,1554,7440,.448,.469,.346,.731,.515,47.758
647,2001-02,MIL,41,82,41,41,.500,19905,3041,6577,2448,4994,593,1583,1321,1767,841,2557,3398,1847,596,388,1157,1788,7996,.462,.490,.375,.748,.544,50.745
648,2000-01,IND,41,82,41,41,.500,19980,2828,6431,2432,5272,396,1159,1539,2009,921,2595,3516,1763,563,487,1244,1926,7591,.440,.461,.342,.766,.519,47.053
649,1999-00,ORL,41,82,41,41,.500,19755,3169,7014,2875,6144,294,870,1574,2142,1145,2540,3685,1709,743,467,1443,1967,8206,.452,.468,.338,.735,.516,47.277
650,1997-98,HOU,41,82,41,41,.500,19830,2946,6513,2373,4843,573,1670,1634,2120,987,2350,3337,1799,686,294,1298,1653,8099,.452,.490,.343,.771,.544,49.632
651,1997-98,ORL,41,82,41,41,.500,19830,2771,6455,2478,5548,293,907,1552,2138,1178,2203,3381,1694,649,441,1258,1617,7387,.429,.447,.323,.726,.499,45.198
652,1995-96,CHH,41,82,41,41,.500,19880,3108,6618,2524,5098,584,1520,1631,2119,987,2256,3243,1907,582,277,1241,1815,8431,.470,.495,.384,.770,.558,51.375
653,1995-96,PHO,41,82,41,41,.500,19955,3159,6673,2832,5689,327,984,1907,2472,1009,2501,3510,2001,623,331,1207,1776,8552,.473,.498,.332,.771,.551,49.790
654,1994-95,DEN,41,82,41,41,.500,19980,3098,6461,2685,5301,413,1160,1700,2305,1040,2402,3442,1836,660,585,1381,2063,8309,.479,.507,.356,.738,.556,51.145
655,1993-94,CHH,41,82,41,41,.500,19830,3382,7100,3046,6184,336,916,1632,2135,1019,2475,3494,2214,724,394,1266,1747,8732,.476,.493,.367,.764,.543,50.000
656,1992-93,IND,41,82,41,41,.500,19755,3371,7022,3114,6233,257,789,1837,2399,1220,2455,3675,2144,615,403,1256,2045,8836,.480,.500,.326,.766,.547,49.836
657,1992-93,LAC,41,82,41,41,.500,19805,3544,7329,3411,6838,133,491,1562,2177,1183,2360,3543,2242,847,491,1338,1920,8783,.484,.499,.271,.718,.530,49.263
658,1992-93,ORL,41,82,41,41,.500,19880,3257,6708,2940,5819,317,889,1821,2495,1040,2566,3606,1952,542,467,1429,1925,8652,.486,.505,.357,.730,.554,50.917
659,1990-91,IND,41,82,41,41,.500,19805,3450,6994,3201,6245,249,749,2010,2479,1018,2376,3394,2181,658,357,1355,2088,9159,.493,.513,.332,.811,.566,51.108
660,1990-91,SEA,41,82,41,41,.500,19880,3500,7117,3364,6690,136,427,1608,2143,1222,2173,3395,2042,861,380,1404,1973,8744,.492,.503,.319,.750,.542,50.133
661,1989-90,ATL,41,82,41,41,.500,19730,3417,7019,3293,6608,124,411,1943,2544,1273,2187,3460,1820,717,353,1270,1871,8901,.487,.498,.302,.764,.547,49.565
662,1989-90,HOU,41,82,41,41,.500,19805,3483,7250,3330,6759,153,491,1633,2267,1217,2638,3855,2194,809,551,1513,1934,8752,.480,.493,.312,.720,.531,49.097
663,1989-90,SEA,41,82,41,41,.500,19905,3466,7243,3235,6593,231,650,1606,2167,1323,2255,3578,1874,701,335,1336,2064,8769,.479,.491,.355,.741,.535,49.448
664,1986-87,IND,41,82,41,41,.500,19930,3454,7324,3360,7008,94,316,1696,2170,1132,2464,3596,2170,697,311,1276,2097,8698,.472,.479,.297,.782,.525,47.802
665,1984-85,SAS,41,82,41,41,.500,19780,3698,7202,3643,7000,55,202,1961,2571,1127,2470,3597,2316,757,443,1542,2180,9412,.513,.520,.272,.763,.565,51.729
666,1984-85,UTA,41,82,41,41,.500,19755,3478,7302,3375,6995,103,307,1878,2434,1081,2554,3635,2143,712,697,1575,1961,8937,.476,.482,.336,.772,.534,48.336
667,1983-84,PHO,41,82,41,41,.500,19780,3677,7220,3603,6929,74,291,1673,2204,1066,2298,3364,2214,693,388,1451,2147,9101,.509,.520,.254,.759,.556,51.440
668,1979-80,HOU,41,82,41,41,.500,19930,3599,7496,3495,7117,104,379,1782,2326,1394,2217,3611,2149,782,373,1565,1927,9084,.480,.491,.274,.766,.533,48.706
669,1979-80,SAS,41,82,41,41,.500,19755,3856,7738,3804,7532,52,206,2024,2528,1153,2515,3668,2326,771,333,1589,2103,9788,.498,.505,.252,.801,.553,50.168
670,2022-23,CHI,40,82,40,42,.488,19905,3488,7116,2634,4749,854,2367,1446,1788,694,2779,3473,2006,644,371,1097,1551,9276,.490,.555,.361,.809,.587,55.017
671,2022-23,OKC,40,82,40,42,.488,19855,3533,7590,2538,4793,995,2797,1572,1944,934,2645,3579,2002,676,341,1069,1722,9633,.465,.530,.356,.809,.570,53.103
672,2020-21,MIA,40,72,40,32,.556,17380,2824,6029,1892,3423,932,2606,1201,1520,579,2409,2988,1895,569,286,1013,1363,7781,.468,.553,.358,.790,.581,54.570
673,2016-17,DEN,40,82,40,42,.488,19755,3377,7194,2507,4829,870,2365,1537,1986,966,2837,3803,2077,568,323,1226,1567,9161,.469,.519,.368,.774,.568,52.989
674,2015-16,UTA,40,82,40,42,.488,19955,2957,6593,2263,4637,694,1956,1402,1885,880,2665,3545,1555,631,425,1224,1655,8010,.449,.488,.355,.744,.540,50.114
675,2014-15,BOS,40,82,40,42,.488,19880,3193,7211,2533,5190,660,2021,1266,1678,910,2685,3595,2009,674,294,1133,1738,8312,.443,.488,.327,.754,.523,48.856
676,2013-14,MIN,40,82,40,42,.488,19855,3189,7175,2589,5418,600,1757,1790,2301,1024,2644,3668,1963,718,297,1142,1504,8768,.444,.478,.341,.778,.535,48.627
677,2011-12,ATL,40,66,40,26,.606,16165,2429,5348,1937,4018,492,1330,1025,1385,652,2066,2718,1481,536,303,921,1178,6375,.454,.482,.370,.740,.535,50.019
678,2011-12,LAC,40,66,40,26,.606,15965,2439,5366,1925,3925,514,1441,1046,1538,800,1943,2743,1385,556,315,879,1399,6438,.455,.490,.357,.680,.533,50.242
679,2010-11,PHO,40,82,40,42,.488,20005,3219,6844,2518,4987,701,1857,1472,1939,821,2478,3299,1945,545,357,1169,1666,8611,.470,.505,.377,.759,.559,52.155
680,2009-10,MEM,40,82,40,42,.488,19905,3223,6875,2879,5855,344,1020,1614,2202,1070,2496,3566,1543,645,399,1248,1655,8404,.469,.492,.337,.733,.536,49.382
681,2009-10,TOR,40,82,40,42,.488,19780,3199,6631,2681,5234,518,1397,1618,2118,806,2507,3313,1804,469,384,1100,1819,8534,.482,.512,.371,.764,.564,52.149
682,2007-08,PHI,40,82,40,42,.488,19755,3056,6648,2754,5696,302,952,1509,2137,1067,2370,3437,1673,712,400,1172,1620,7923,.460,.483,.317,.706,.522,48.240
683,2006-07,LAC,40,82,40,42,.488,19730,2880,6318,2566,5415,314,903,1769,2245,888,2484,3372,1762,596,472,1239,1858,7843,.456,.474,.348,.788,.537,48.069
684,2006-07,ORL,40,82,40,42,.488,19780,2875,6090,2533,5128,342,962,1679,2393,920,2418,3338,1525,565,416,1392,1904,7771,.472,.494,.356,.702,.544,50.016
685,2005-06,MIL,40,82,40,42,.488,19855,2976,6566,2469,5231,507,1335,1561,2115,929,2448,3377,1769,597,270,1197,1902,8020,.453,.472,.380,.738,.535,49.185
686,2002-03,SEA,40,82,40,42,.488,19855,2887,6599,2431,5308,456,1291,1325,1780,963,2385,3348,1775,679,295,1085,1712,7555,.437,.458,.353,.744,.512,47.204
687,2000-01,DEN,40,82,40,42,.488,19780,2979,6877,2467,5433,512,1444,1448,1964,1044,2583,3627,1970,552,538,1136,1820,7918,.433,.454,.355,.737,.511,47.041
688,1999-00,DAL,40,82,40,42,.488,19730,3195,7047,2676,5721,519,1326,1407,1751,931,2444,3375,1810,592,416,1124,1770,8316,.453,.468,.391,.804,.532,49.021
689,1996-97,MIN,40,82,40,42,.488,19780,2937,6436,2566,5343,371,1093,1637,2180,957,2302,3259,1874,618,557,1243,1818,7882,.456,.480,.339,.751,.533,48.516
690,1996-97,PHO,40,82,40,42,.488,19855,3143,6705,2616,5277,527,1428,1618,2125,916,2376,3292,2067,664,322,1180,1727,8431,.469,.496,.369,.761,.552,50.805
691,1992-93,DET,40,82,40,42,.488,19780,3267,7211,2975,6303,292,908,1426,1957,1293,2315,3608,1941,580,249,1152,1747,8252,.453,.472,.322,.729,.511,47.330
692,1991-92,IND,40,82,40,42,.488,19955,3498,7079,3165,6139,333,940,1868,2364,1083,2564,3647,2398,705,393,1402,2137,9197,.494,.516,.354,.790,.566,51.766
693,1991-92,NJN,40,82,40,42,.488,19780,3473,7580,3249,6910,224,670,1471,2009,1512,2392,3904,1937,736,615,1392,1834,8641,.458,.470,.334,.732,.510,47.296
694,1988-89,WSB,40,82,40,42,.488,19855,3519,7591,3467,7348,52,243,1789,2318,1254,2354,3608,2048,694,325,1291,2054,8879,.464,.472,.214,.772,.516,46.700
695,1986-87,CHI,40,82,40,42,.488,19830,3382,7155,3304,6856,78,299,1754,2254,1248,2400,3648,2143,677,438,1257,1922,8596,.473,.482,.261,.778,.528,47.813
696,1985-86,POR,40,82,40,42,.488,19855,3610,7281,3536,7006,74,275,2142,2799,1153,2316,3469,2180,859,356,1529,2205,9436,.496,.505,.269,.765,.554,50.089
697,1984-85,WSB,40,82,40,42,.488,19855,3534,7383,3425,6985,109,398,1478,1989,1012,2395,3407,2088,709,393,1282,1869,8655,.479,.490,.274,.743,.524,48.605
698,1983-84,ATL,40,82,40,42,.488,19855,3230,6809,3207,6703,23,106,1838,2414,1112,2232,3344,1827,626,558,1329,2091,8321,.474,.478,.217,.761,.529,47.606
699,1980-81,HOU,40,82,40,42,.488,19805,3573,7335,3552,7217,21,118,1711,2223,1216,2347,3563,2099,705,390,1451,1901,8878,.487,.492,.178,.770,.534,48.855
700,1980-81,KCK,40,82,40,42,.488,19830,3572,7151,3523,6983,49,168,1576,2206,1037,2450,3487,2271,719,385,1448,2092,8769,.500,.505,.292,.714,.540,50.294
701,2023-24,CHI,39,82,39,43,.476,19980,3448,7339,2507,4709,941,2630,1369,1731,916,2677,3593,2048,638,394,1004,1541,9206,.470,.532,.358,.791,.568,53.393
702,2020-21,GSW,39,72,39,33,.542,17305,2973,6347,1925,3558,1048,2789,1193,1520,574,2524,3098,1991,587,342,1080,1526,8187,.468,.541,.376,.785,.583,55.097
703,2018-19,CHO,39,82,39,43,.476,19830,3297,7362,2320,4579,977,2783,1510,1895,814,2778,3592,1905,591,405,1001,1550,9081,.448,.507,.351,.797,.554,51.419
704,2018-19,MIA,39,82,39,43,.476,19730,3251,7218,2323,4560,928,2658,1238,1782,921,2879,3800,1991,627,448,1208,1712,8668,.450,.509,.349,.695,.542,51.469
705,2018-19,SAC,39,82,39,43,.476,19730,3541,7637,2614,5182,927,2455,1354,1865,906,2819,3725,2083,679,363,1095,1751,9363,.464,.504,.378,.726,.554,52.436
706,2017-18,DET,39,82,39,43,.476,19805,3208,7129,2322,4756,886,2373,1207,1621,830,2756,3586,1868,628,317,1103,1508,8509,.450,.488,.373,.745,.543,51.213
707,2014-15,PHO,39,82,39,43,.476,19880,3178,7038,2480,4990,698,2048,1343,1767,896,2643,3539,1659,700,385,1238,1744,8397,.452,.497,.341,.760,.537,50.114
708,2011-12,BOS,39,66,39,27,.591,15940,2341,5086,1978,4098,363,988,1017,1308,509,2051,2560,1557,498,362,979,1315,6062,.460,.483,.367,.778,.535,49.597
709,2010-11,UTA,39,82,39,43,.476,19880,3064,6590,2629,5334,435,1256,1590,2061,898,2338,3236,1921,629,484,1175,1865,8153,.465,.493,.346,.771,.544,49.795
710,2008-09,DET,39,82,39,43,.476,19905,2981,6559,2604,5480,377,1079,1388,1849,949,2448,3397,1689,493,377,973,1712,7727,.454,.475,.349,.751,.524,48.323
711,2006-07,NOK,39,82,39,43,.476,19880,2971,6674,2516,5418,455,1256,1436,1941,1025,2512,3537,1537,522,347,1187,1620,7833,.445,.464,.362,.740,.520,47.925
712,2003-04,NYK,39,82,39,43,.476,19880,2881,6513,2475,5398,406,1115,1374,1732,950,2543,3493,1695,608,391,1289,1897,7542,.442,.459,.364,.793,.518,47.351
713,2001-02,LAC,39,82,39,43,.476,19805,2970,6668,2562,5521,408,1147,1498,2026,1083,2474,3557,1714,510,540,1214,1624,7846,.445,.464,.356,.739,.519,47.600
714,1996-97,IND,39,82,39,43,.476,19930,2851,6254,2421,5124,430,1130,1687,2336,1029,2390,3419,1750,585,394,1338,1977,7819,.456,.472,.381,.722,.537,49.025
715,1995-96,SAC,39,82,39,43,.476,19755,2971,6494,2509,5300,462,1194,1759,2407,1114,2345,3459,1829,643,436,1442,2131,8163,.457,.473,.387,.731,.540,49.307
716,1995-96,WSB,39,82,39,43,.476,19805,3202,6618,2709,5406,493,1212,1511,2076,930,2327,3257,1815,592,506,1327,1981,8408,.484,.501,.407,.728,.558,52.108
717,1994-95,SAC,39,82,39,43,.476,19855,3025,6463,2666,5426,359,1037,1647,2317,1073,2325,3398,1824,650,457,1449,2040,8056,.468,.491,.346,.711,.538,49.582
718,1992-93,LAL,39,82,39,43,.476,19830,3309,6994,3122,6368,187,626,1741,2304,1103,2288,3391,2013,782,431,1266,1778,8546,.473,.490,.299,.756,.534,48.649
719,1990-91,NYK,39,82,39,43,.476,19955,3308,6822,3123,6264,185,558,1654,2147,1053,2436,3489,2172,638,418,1379,1764,8455,.485,.499,.332,.770,.544,49.846
720,1988-89,POR,39,82,39,43,.476,19830,3695,7795,3479,7150,216,645,1789,2416,1384,2381,3765,2212,828,388,1435,2026,9395,.474,.487,.335,.740,.530,48.788
721,1986-87,SEA,39,82,39,43,.476,19855,3593,7451,3402,6880,191,571,1948,2571,1373,2395,3768,2184,705,450,1509,2224,9325,.482,.494,.335,.758,.543,49.503
722,1985-86,NJN,39,82,39,43,.476,19805,3548,7301,3505,7087,43,214,1810,2396,1183,2483,3666,2128,749,345,1575,2129,8949,.486,.495,.201,.755,.536,48.891
723,1985-86,WSB,39,82,39,43,.476,19855,3311,7148,3195,6740,116,408,1704,2286,1066,2432,3498,1748,626,716,1346,1796,8442,.463,.474,.284,.745,.518,47.132
724,1981-82,DET,39,82,39,43,.476,19830,3561,7391,3509,7178,52,213,1938,2581,1298,2345,3643,2027,741,564,1629,2160,9112,.482,.489,.244,.751,.534,48.532
725,1980-81,GSW,39,82,39,43,.476,19730,3560,7284,3500,7074,60,210,1826,2513,1403,2366,3769,2026,611,301,1547,2158,9006,.489,.495,.286,.727,.537,49.286
726,1980-81,WSB,39,82,39,43,.476,19780,3549,7517,3484,7276,65,241,1499,2072,1155,2533,3688,2151,641,392,1422,1895,8662,.472,.479,.270,.723,.514,47.645
727,1979-80,NYK,39,82,39,43,.476,19780,3802,7672,3760,7481,42,191,1698,2274,1236,2303,3539,2265,881,457,1613,2168,9344,.496,.503,.220,.747,.539,49.831
728,1979-80,WSB,39,82,39,43,.476,19880,3574,7796,3501,7558,73,238,1552,2048,1334,2723,4057,2201,530,443,1380,1893,8773,.458,.463,.307,.758,.504,46.312
729,2022-23,DAL,38,82,38,44,.463,19930,3283,6909,2037,3547,1246,3362,1554,2057,625,2556,3181,1880,514,304,1002,1697,9366,.475,.574,.371,.755,.599,56.535
730,2020-21,MEM,38,72,38,34,.528,17405,3085,6608,2282,4350,803,2258,1184,1536,803,2543,3346,1938,655,364,957,1349,8157,.467,.525,.356,.771,.560,52.762
731,2014-15,IND,38,82,38,44,.463,19855,2998,6824,2386,5084,612,1740,1373,1817,856,2822,3678,1757,505,375,1147,1742,7981,.439,.469,.352,.756,.523,48.417
732,2014-15,BRK,38,82,38,44,.463,19930,3069,6804,2528,5171,541,1633,1359,1817,846,2627,3473,1716,576,340,1133,1579,8038,.451,.489,.331,.748,.529,49.081
733,2014-15,UTA,38,82,38,44,.463,19705,2900,6492,2290,4711,610,1781,1391,1929,988,2617,3605,1632,623,489,1256,1583,7801,.447,.486,.343,.721,.531,49.368
734,2013-14,ATL,38,82,38,44,.463,19830,3061,6688,2293,4572,768,2116,1392,1782,713,2565,3278,2041,680,326,1251,1577,8282,.458,.502,.363,.781,.554,51.510
735,2012-13,MIL,38,82,38,44,.463,19830,3128,7197,2527,5527,601,1670,1251,1700,1068,2537,3605,1876,685,550,1156,1554,8108,.435,.457,.360,.736,.510,47.638
736,2011-12,DEN,38,66,38,28,.576,16040,2572,5404,2137,4093,435,1311,1293,1760,738,2105,2843,1581,540,330,1015,1297,6872,.476,.522,.332,.735,.556,51.619
737,2007-08,SAC,38,82,38,44,.463,19830,3043,6558,2533,5191,510,1367,1812,2272,829,2456,3285,1567,651,334,1317,1839,8408,.464,.488,.373,.798,.556,50.290
738,2005-06,NOK,38,82,38,44,.463,19805,2831,6428,2531,5543,300,885,1649,2176,918,2379,3297,1519,611,311,1095,1786,7611,.440,.457,.339,.758,.515,46.375
739,2005-06,PHI,38,82,38,44,.463,19905,3001,6546,2626,5515,375,1031,1770,2330,873,2425,3298,1653,651,404,1159,1712,8147,.458,.476,.364,.760,.538,48.709
740,2002-03,GSW,38,82,38,44,.463,19755,3061,6941,2636,5706,425,1235,1853,2382,1284,2546,3830,1712,594,506,1295,1786,8400,.441,.462,.344,.778,.526,47.162
741,1991-92,ATL,38,82,38,44,.463,19905,3492,7476,3282,6805,210,671,1517,2074,1288,2498,3786,2123,793,320,1255,1771,8711,.467,.482,.313,.731,.519,48.114
742,1991-92,MIA,38,82,38,44,.463,19830,3256,7061,2999,6310,257,751,1839,2329,1187,2366,3553,1749,670,373,1377,1819,8608,.461,.475,.342,.790,.532,47.932
743,1988-89,DAL,38,82,38,44,.463,19780,3244,6917,3033,6236,211,681,1785,2263,1048,2397,3445,1867,579,476,1233,1739,8484,.469,.486,.310,.789,.536,48.424
744,1987-88,IND,38,82,38,44,.463,19705,3436,7154,3273,6669,163,485,1546,1982,1078,2457,3535,1977,619,345,1318,2038,8581,.480,.491,.336,.780,.535,49.168
745,1987-88,NYK,38,82,38,44,.463,19805,3363,7232,3184,6665,179,567,1750,2306,1286,2194,3480,2012,789,445,1518,2361,8655,.465,.478,.316,.759,.525,47.739
746,1987-88,WSB,38,82,38,44,.463,19880,3355,7164,3326,7026,29,138,1914,2476,1229,2297,3526,1875,698,502,1384,1922,8653,.468,.473,.210,.773,.524,47.034
747,1984-85,CHI,38,82,38,44,.463,19805,3453,6909,3424,6748,29,161,1981,2526,1074,2366,3440,1992,622,468,1463,2071,8916,.500,.507,.180,.784,.556,50.188
748,1983-84,DEN,38,82,38,44,.463,19805,3935,7983,3858,7728,77,255,2200,2690,1133,2444,3577,2482,711,352,1344,2279,10147,.493,.499,.302,.818,.553,49.775
