Rk,Player,PTS/G,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1278,Jodie Meeks,8.7,MIL,2,41,2009,Kentucky,2006-07,Kentucky,34,1,22.1,2.8,6.7,1.5,3.1,1.3,3.6,1.8,2.0,0.9,2.0,2.8,1.5,0.9,0.1,1.2,1.3,8.7,.419,.481,.364,.897,.569,.515,G,FR,jodie-meeks-1
1279,Josh McRoberts,8.7,POR,2,37,2007,Duke,2005-06,Duke,36,31,24.5,3.2,5.3,3.1,4.9,0.1,0.4,2.1,3.2,1.7,3.6,5.3,1.5,1.1,1.3,1.4,3.0,8.7,.605,.621,.385,.664,.636,.618,F,FR,josh-mcroberts-1
1280,Landry Shamet,8.7,PHI,1,26,2018,Wichita State,2015-16,Wichita State,3,1,17.7,2.3,5.3,1.3,2.0,1.0,3.3,3.0,4.0,1.0,1.7,2.7,1.7,1.7,0.3,0.7,2.7,8.7,.438,.667,.300,.750,.599,.531,G,FR,landry-shamet-1
1281,Dwayne Collins,8.6,PHO,2,60,2010,Miami (FL),2007-08,Miami (FL),34,18,20.0,3.5,6.4,3.5,6.4,0.0,0.0,1.6,3.2,2.6,3.9,6.5,0.4,0.5,0.9,1.4,1.8,8.6,.550,.550,,.500,.546,.550,F,SO,dwayne-collins-1
1282,DeAndre Liggins,8.6,ORL,2,53,2011,Kentucky,2010-11,Kentucky,38,28,31.6,2.9,6.9,2.0,4.5,0.9,2.4,1.8,2.8,0.6,3.4,4.0,2.5,1.2,0.7,1.4,2.5,8.6,.424,.442,.391,.648,.523,.492,G,JR,deandre-liggins-1
1283,Bernard James,8.6,CLE,2,33,2012,Florida State,2010-11,Florida State,34,22,21.1,3.4,5.2,3.4,5.2,0.0,0.0,1.7,3.4,2.2,3.7,5.9,0.2,0.9,2.4,1.5,1.6,8.6,.657,.657,,.504,.627,.657,F,JR,bernard-james--1
1284,JD Davison,8.5,BOS,2,53,2022,Alabama,2021-22,Alabama,33,5,25.8,3.0,6.5,2.2,4.0,0.8,2.5,1.8,2.5,1.1,3.7,4.8,4.3,1.0,0.4,2.9,1.2,8.5,.463,.565,.301,.728,.558,.521,G,FR,jd-davison-1
1285,Julian Wright,8.5,NOH,1,13,2007,Kansas,2005-06,Kansas,33,15,20.1,3.8,6.7,3.8,6.6,0.0,0.1,1.0,1.9,1.6,3.0,4.6,1.8,0.9,1.3,1.9,1.6,8.5,.564,.571,.000,.548,.565,.564,F,FR,julian-wright-1
1286,Ochai Agbaji,8.5,CLE,1,14,2022,Kansas,2018-19,Kansas,22,16,25.9,3.2,7.1,2.1,3.7,1.0,3.4,1.1,1.6,1.0,3.6,4.6,0.9,0.5,0.5,1.4,2.0,8.5,.449,.580,.307,.694,.543,.522,G,FR,ochai-agbaji-1
1287,Maurice Ager,8.5,DAL,1,28,2006,Michigan State,2003-04,Michigan State,30,4,22.5,2.9,7.5,1.7,4.0,1.2,3.5,1.4,2.0,0.9,2.3,3.2,0.7,0.4,0.3,1.3,2.0,8.5,.387,.420,.349,.705,.500,.469,G,SO,maurice-ager-1
1288,Stanley Robinson,8.5,ORL,2,59,2010,Connecticut,2008-09,Connecticut,28,24,24.9,3.5,6.9,3.4,6.0,0.1,0.8,1.4,2.3,2.0,3.9,5.9,1.2,0.6,1.1,1.6,1.4,8.5,.505,.556,.130,.635,.534,.513,F,JR,stanley-robinson-1
