player,g,gs,mp,fg_per_100_poss,fga_per_100_poss,x3p_per_100_poss,x3pa_per_100_poss,x2p_per_100_poss,x2pa_per_100_poss,ft_per_100_poss,fta_per_100_poss,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made,per,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,height,weight,pos_PG,pos_SG,pos_PF,pos_SF,pos_C
Cam Spencer,49.56410256410256,30.923076923076923,1238.179487179487,5.92051282051282,14.323076923076924,2.805128205128205,7.710256410256411,3.102564102564102,6.610256410256411,2.2333333333333334,2.8205128205128207,1.2102564102564102,4.223076923076923,5.433333333333334,4.633333333333334,1.676923076923077,0.6333333333333334,1.9871794871794872,4.261538461538461,16.88461538461538,110.97435897435898,112.5897435897436,16.83076923076923,0.4532564102564103,0.1843333333333333,0.1466666666666666,0.0554102564102564,0.067025641025641,0.5467435897435896,0.473102564102564,0.5974358974358973,0.3758461538461539,0.3862564102564103,0.3592820512820513,0.3545641025641026,0.4875384615384614,0.8800769230769233,0.0184102564102564,7.205128205128205,0.3064358974358974,0.397974358974359,0.5641025641025641,0.0,10.889743589743588,0.5467435897435896,0.1967179487179487,2.7282051282051283,9.438461538461535,6.102564102564102,13.176923076923076,1.676923076923077,1.125641025641026,11.366666666666667,15.5025641025641,1.225641025641026,1.0384615384615383,2.2743589743589747,0.0776410256410256,-1.4897435897435891,0.1769230769230769,-1.3205128205128205,0.3692307692307692,75.33333333333333,194.3589743589744,1,1,0,0,0
Cody Williams,57.19230769230769,19.07692307692308,1209.0384615384614,7.815384615384614,16.842307692307692,2.015384615384615,5.684615384615385,5.803846153846154,11.169230769230769,3.569230769230769,4.596153846153846,2.407692307692308,7.346153846153846,9.750000000000002,4.580769230769231,1.6615384615384614,0.8346153846153845,3.0961538461538463,5.11923076923077,21.192307692307693,108.92307692307692,110.0,13.203846153846156,0.6568461538461539,0.3070769230769231,0.1654615384615385,0.069076923076923,0.1151538461538461,0.3431538461538461,0.5351538461538461,0.6779230769230769,0.4034230769230769,0.3711153846153845,0.3959230769230769,0.3436538461538461,0.6030384615384615,0.9121153846153844,0.0406538461538461,15.346153846153848,0.2254230769230769,0.3553076923076922,0.5,0.0,14.038461538461538,0.3431538461538461,0.276576923076923,5.326923076923077,16.523076923076925,10.907692307692306,14.08076923076923,1.6615384615384614,1.4346153846153844,14.176923076923076,19.34230769230769,1.2423076923076926,1.2423076923076926,2.476923076923077,0.0922692307692307,-0.7692307692307693,0.2423076923076922,-0.5346153846153846,0.5076923076923078,80.73076923076923,233.65384615384616,0,0,1,1,0
DaRon Holmes II,49.48571428571429,15.742857142857142,988.7714285714286,7.262857142857143,15.405714285714287,1.5542857142857145,4.442857142857143,5.711428571428572,10.951428571428572,3.105714285714285,3.928571428571429,3.28,7.917142857142858,11.197142857142858,2.422857142857143,0.9742857142857144,1.5571428571428572,2.071428571428572,4.511428571428572,19.22285714285714,111.94285714285714,109.02857142857142,12.991428571428573,0.6966857142857142,0.2906285714285714,0.1455142857142857,0.1291714285714285,0.1315714285714285,0.3033142857142857,0.5241714285714286,0.6298,0.4399714285714285,0.4251428571428571,0.4323714285714286,0.2210571428571429,0.6938,0.6399428571428571,0.0860857142857142,34.8,0.2036285714285714,0.2122285714285714,0.4,0.0,13.934285714285716,0.3033142857142857,0.2511714285714286,7.354285714285713,17.585714285714285,12.491428571428573,7.368571428571429,0.9742857142857144,2.565714285714286,10.745714285714286,17.034285714285716,1.3057142857142858,1.2085714285714284,2.52,0.1072285714285714,-0.8742857142857143,-0.1285714285714286,-0.9971428571428568,0.4428571428571428,81.97142857142858,241.0,0,0,1,1,0
Dalton Knecht,53.95238095238095,4.904761904761905,1106.190476190476,7.852380952380953,18.685714285714287,2.823809523809524,7.847619047619046,5.023809523809524,10.842857142857142,4.0,5.033333333333335,1.038095238095238,4.628571428571428,5.666666666666667,4.642857142857143,1.119047619047619,0.5285714285714287,2.7952380952380955,3.6666666666666665,22.52380952380953,106.0952380952381,114.04761904761904,14.952380952380953,0.5711428571428572,0.2517619047619048,0.1320952380952381,0.088,0.0990952380952381,0.4288571428571429,0.4658095238095238,0.5986666666666667,0.3318095238095238,0.3469523809523809,0.3835238095238095,0.3662380952380952,0.4570952380952381,0.8078095238095235,0.0266190476190476,13.142857142857142,0.262952380952381,0.3976190476190476,1.4285714285714286,0.0,12.228571428571426,0.4288571428571429,0.2819523809523809,2.304761904761905,10.542857142857144,6.371428571428572,14.409523809523812,1.1142857142857143,0.9095238095238094,11.857142857142858,20.904761904761905,0.7333333333333333,0.5666666666666667,1.2904761904761903,0.0521904761904761,-0.6857142857142856,-1.3761904761904762,-2.0619047619047617,0.038095238095238,76.61904761904762,199.23809523809524,1,1,0,0,0
Devin Carter,50.13793103448276,21.58620689655172,1144.1379310344828,7.055172413793103,16.96896551724138,1.7689655172413794,5.775862068965517,5.275862068965517,11.210344827586203,5.086206896551724,6.565517241379309,0.9275862068965516,4.441379310344828,5.362068965517241,7.010344827586208,1.9758620689655173,0.4448275862068965,3.403448275862069,4.83103448275862,20.97931034482758,104.6896551724138,109.65517241379312,13.334482758620693,0.6556206896551724,0.3206206896551724,0.1358275862068965,0.0649655172413793,0.134551724137931,0.3443793103448276,0.4711379310344827,0.5812413793103449,0.3240689655172413,0.3747241379310345,0.3535862068965517,0.2946206896551724,0.3656551724137931,0.7589310344827587,0.0164137931034482,3.793103448275862,0.1819655172413793,0.3294137931034482,3.0689655172413794,0.0344827586206896,13.327586206896552,0.3443793103448276,0.3824827586206896,2.041379310344828,9.982758620689657,5.972413793103449,21.531034482758614,1.9758620689655173,0.7172413793103448,14.558620689655172,20.41379310344828,1.4,0.9241379310344828,2.320689655172414,0.0769310344827586,-1.1241379310344828,-0.2068965517241379,-1.3413793103448275,0.5551724137931033,75.72413793103448,190.5862068965517,1,1,0,0,0
Donovan Clingan,50.5,29.25,1176.4166666666667,7.012499999999999,14.695833333333336,0.6041666666666666,1.7416666666666665,6.404166666666666,12.929166666666667,3.054166666666667,4.879166666666666,5.120833333333334,10.070833333333333,15.179166666666664,3.2916666666666665,1.4458333333333335,1.9958333333333331,2.9666666666666663,6.0625,17.662499999999998,106.5,104.875,6.629166666666667,0.9107916666666668,0.5819583333333332,0.1523333333333333,0.0567083333333333,0.119375,0.08925,0.4993749999999999,0.5982500000000001,0.295375,0.4170416666666667,0.2791666666666666,0.069,0.6478333333333333,0.188125,0.152125,39.54166666666666,0.0420416666666666,0.0579583333333333,0.25,0.0,14.770833333333334,0.08925,0.3564166666666666,11.166666666666666,22.09166666666667,16.604166666666668,10.058333333333334,1.4458333333333335,3.045833333333333,15.108333333333334,17.304166666666664,1.4041666666666668,1.7875000000000003,3.1875,0.0997916666666666,-1.3208333333333335,0.4208333333333334,-0.9083333333333332,0.8249999999999998,83.20833333333333,246.54166666666663,0,0,0,0,1
Enrique Freeman,50.06,39.64,1405.68,8.706000000000001,16.994,0.75,2.344,7.953999999999999,14.658,4.032,5.876,3.936,10.806,14.738,5.32,1.146,1.672,3.53,5.513999999999999,22.196,110.82,107.72,7.478,0.8741800000000001,0.46108,0.27602,0.0587,0.0783399999999999,0.12582,0.5434,0.6747799999999999,0.4170199999999999,0.30132,0.31882,0.24922,0.5954600000000001,0.56686,0.1284,50.18,0.1724,0.15654,0.46,0.0,17.285999999999998,0.12582,0.3276399999999999,8.824,24.31,16.558,16.8,1.146,2.826,16.428,20.384,2.424,1.808,4.214,0.12474,0.1659999999999999,0.858,1.026,1.54,82.86,249.4,0,0,1,1,0
Grant Nelson,41.1578947368421,18.894736842105264,795.5263157894736,8.457894736842105,19.957894736842103,2.789473684210526,8.073684210526315,5.684210526315789,11.884210526315789,3.2526315789473683,4.2631578947368425,2.294736842105263,7.973684210526314,10.263157894736844,2.647368421052632,1.5736842105263158,1.9789473684210528,2.778947368421053,6.5210526315789465,22.931578947368426,103.21052631578948,106.57894736842104,14.79473684210526,0.5936842105263158,0.214,0.1865263157894736,0.0953684210526315,0.0979999999999999,0.4063157894736842,0.4756315789473683,0.6270526315789474,0.3819473684210526,0.3960000000000001,0.2757368421052632,0.3379473684210526,0.5654210526315789,0.9686315789473684,0.047578947368421,17.42105263157895,0.237578947368421,0.2754210526315789,1.105263157894737,0.0,13.373684210526315,0.4063157894736842,0.2083157894736841,5.08421052631579,17.873684210526314,11.431578947368422,8.231578947368419,1.5736842105263158,3.4473684210526314,11.605263157894736,21.6,0.4526315789473684,1.0789473684210529,1.5473684210526313,0.0749473684210526,-1.863157894736842,0.0789473684210526,-1.7684210526315791,0.3263157894736843,82.3157894736842,230.3684210526316,0,0,1,1,0
Harrison Ingram,52.0,24.88888888888889,1392.388888888889,6.783333333333333,14.955555555555556,1.5944444444444446,4.761111111111111,5.177777777777777,10.211111111111112,2.305555555555556,3.1222222222222222,2.377777777777778,6.01111111111111,8.394444444444444,3.4555555555555557,1.4944444444444445,0.6666666666666666,2.0055555555555555,3.566666666666667,17.5,109.16666666666669,109.77777777777776,11.81111111111111,0.7004444444444444,0.3872222222222223,0.1253888888888888,0.0618333333333333,0.1261666666666666,0.2995555555555556,0.5033888888888889,0.6711111111111111,0.2929444444444444,0.3830555555555556,0.3122777777777777,0.3163333333333333,0.5775,0.9413888888888888,0.0672777777777777,28.72222222222222,0.4303888888888889,0.3690555555555555,0.8333333333333334,0.0,12.772222222222222,0.2995555555555556,0.2111111111111111,5.277777777777777,13.505555555555556,9.35,10.694444444444445,1.4944444444444445,1.0277777777777777,10.577777777777778,16.055555555555557,2.1500000000000004,1.0055555555555555,3.155555555555555,0.0827777777777777,-0.3222222222222223,-0.3722222222222223,-0.6944444444444444,0.9555555555555556,80.44444444444444,220.16666666666663,0,0,1,1,0
Isaac Jones,53.54054054054054,10.108108108108109,1071.7567567567569,7.232432432432433,16.210810810810813,2.051351351351351,5.88918918918919,5.183783783783783,10.308108108108108,2.151351351351351,2.872972972972973,2.589189189189189,7.283783783783784,9.872972972972974,2.348648648648649,1.156756756756757,0.7135135135135136,1.7972972972972974,4.0,18.683783783783785,108.2162162162162,110.13513513513512,14.759459459459457,0.6118378378378379,0.215,0.1546486486486486,0.1115405405405405,0.129081081081081,0.3881621621621621,0.4937297297297298,0.6479459459459459,0.3935135135135135,0.3967567567567567,0.3773783783783783,0.3178108108108108,0.6736756756756758,0.9043243243243244,0.0515675675675675,16.864864864864863,0.3449459459459459,0.3305135135135135,0.5675675675675675,0.027027027027027,12.23243243243243,0.3881621621621621,0.1715135135135135,5.81081081081081,16.22972972972973,11.05945945945946,7.148648648648648,1.156756756756757,1.1378378378378378,9.248648648648649,17.045945945945945,0.9972972972972972,0.9324324324324328,1.932432432432432,0.0799189189189189,-0.9324324324324323,-0.7351351351351351,-1.6648648648648647,0.2162162162162162,79.70270270270271,234.64864864864865,0,0,1,1,0
