Player,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,Pos_G,Pos_F,Pos_C
Cam Spencer,-0.9701336560853785,1.832531825317626,-0.6386248763911259,-0.5858889465616354,-0.1277733860068676,0.8045181322334856,0.8091970369821042,-0.688469269739514,-1.3861997921145859,-0.02973070026799603,0.23622342990518747,-0.11329302907706816,1,0,0
Cody Williams,0.0609848418599648,-0.40643659580806096,-0.47251467474318054,-1.0238817961901774,-1.1699068146021114,-0.46049741313766024,-0.9594713242194327,-0.19630788964706272,0.036109893896450695,-0.4626137394441813,-0.37848454700830525,0.9002490928854698,0,1,0
DaRon Holmes II,1.386708624932549,-0.03327519228711312,2.7666342573917575,0.0711003278811773,1.9564934711836202,0.17201035954791263,-0.36991520381892035,1.5262569406765167,0.3205718310986583,-0.4626137394441813,1.798606204560314,0.7810088432428183,0,1,0
Dalton Knecht,0.7974980546780672,1.9569189598246086,1.271642442560248,-0.9143835837830419,0.08065329971218105,-0.3339958586005457,-0.762952617419262,-0.3193482346701755,-0.39058301190686034,-0.8954967786203661,2.1315730253884557,-0.5008238404156848,1,0,0
Devin Carter,-0.3809230858308964,0.09111194221986958,0.44109143432051995,-0.47639073415450006,-0.19724894791321695,0.10875958227935528,1.3987531573826166,0.2958534904453886,-0.5328139805079638,-0.2461722198560887,-0.09674339092295454,-0.9628798077809595,1,0,0
Donovan Clingan,0.2819388057053954,-1.2149529701034478,-0.9293177292750305,0.7828387085275581,0.11539108066535633,-0.8400020767490041,-1.254249384419689,1.587777113188073,-1.5284307607156893,-0.5708344992382277,-0.8779347782505182,2.3162270573919552,0,0,1
Enrique Freeman,1.386708624932549,-0.9039851338359912,0.7733118376164109,1.9873190450060485,3.102840242638388,-0.5237481904062176,-0.8612119708193472,0.6649745255147268,0.3205718310986583,1.3771391770546049,0.6460287478475157,1.9808638552719984,0,1,0
Grant Nelson,-0.4545744071127067,-0.2820494613010783,0.35803633349654707,-0.03839788452595802,0.21960442352488035,-0.5237481904062176,-0.9594713242194327,0.9110552155609526,-0.8172759177101714,1.918242976024836,-0.37848454700830525,-0.05367290425574239,0,1,0
Harrison Ingram,-0.8228310135217579,0.9618218837687477,-1.0539003805109897,1.0565842395453968,1.5396400997455228,-0.08099274952631648,0.6126783301819332,-0.565428924716401,-0.8172759177101714,-0.679055259032274,-0.3016460498941189,-0.9181647141649651,0,1,0
Isaac Jones,1.4603599462143597,-1.277146537356939,0.8563669384403837,0.72808960232399,0.9143600425883763,-0.5237481904062176,-1.1559900310196034,0.2958534904453886,-0.10612107470465308,-0.4626137394441813,0.4923517536191427,1.2430648106080913,0,1,0
