Rk,Season,Team,W,G,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,MOV,SOS,SRS,Pace,ORtg,DRtg,TOV%,ORB%,DRB%,FTr
662,1989-90,HOU,41,82,41,0.5,19805,3483,7250,3330,6759,153,491,1633,2267,1217,2638,3855,2194,809,551,1513,1934,8752,0.48,0.493,0.312,0.72,0.531,0.491,1.46,0.24,1.71,101.2,104.8,103.4,15.5,33.1,69.2,0.313
663,1989-90,SEA,41,82,41,0.5,19905,3466,7243,3235,6593,231,650,1606,2167,1323,2255,3578,1874,701,335,1336,2064,8769,0.479,0.491,0.355,0.741,0.535,0.494,1.04,0.36,1.4,95.3,110.9,109.8,14,37.5,69.1,0.299
664,1986-87,IND,41,82,41,0.5,19930,3454,7324,3360,7008,94,316,1696,2170,1132,2464,3596,2170,697,311,1276,2097,8698,0.472,0.479,0.297,0.782,0.525,0.478,-0.65,0.47,-0.17,98.8,106,106.6,13.4,30.5,68.8,0.296
665,1984-85,SAS,41,82,41,0.5,19780,3698,7202,3643,7000,55,202,1961,2571,1127,2470,3597,2316,757,443,1542,2180,9412,0.513,0.52,0.272,0.763,0.565,0.517,0.91,-0.29,0.63,103.9,109.9,109,15.6,33.2,68.5,0.357
666,1984-85,UTA,41,82,41,0.5,19755,3478,7302,3375,6995,103,307,1878,2434,1081,2554,3635,2143,712,697,1575,1961,8937,0.476,0.482,0.336,0.772,0.534,0.483,-0.11,-0.22,-0.33,105.1,103.3,103.4,15.8,29,65.3,0.333
667,1983-84,PHO,41,82,41,0.5,19780,3677,7220,3603,6929,74,291,1673,2204,1066,2298,3364,2214,693,388,1451,2147,9101,0.509,0.52,0.254,0.759,0.556,0.514,0.89,-0.24,0.65,101.4,108.9,108,15.1,31.4,68.3,0.305
668,1979-80,HOU,41,82,41,0.5,19930,3599,7496,3495,7117,104,379,1782,2326,1394,2217,3611,2149,782,373,1565,1927,9084,0.48,0.491,0.274,0.766,0.533,0.487,0.17,0.1,0.27,101.2,108.1,108,15.5,37.6,63.2,0.31
669,1979-80,SAS,41,82,41,0.5,19755,3856,7738,3804,7532,52,206,2024,2528,1153,2515,3668,2326,771,333,1589,2103,9788,0.498,0.505,0.252,0.801,0.553,0.502,-0.38,0.13,-0.24,109.5,108.6,109,15.2,31.8,66.8,0.327
670,2022-23,CHI,40,82,42,0.488,19905,3488,7116,2634,4749,854,2367,1446,1788,694,2779,3473,2006,644,371,1097,1551,9276,0.49,0.555,0.361,0.809,0.587,0.55,1.29,0.07,1.37,98.5,113.5,112.2,12.2,20.1,77.8,0.251
671,2022-23,OKC,40,82,42,0.488,19855,3533,7590,2538,4793,995,2797,1572,1944,934,2645,3579,2002,676,341,1069,1722,9633,0.465,0.53,0.356,0.809,0.57,0.531,1.09,-0.12,0.96,101.1,115.2,114.2,11.2,24.7,72.9,0.256
672,2020-21,MIA,40,72,32,0.556,17380,2824,6029,1892,3423,932,2606,1201,1520,579,2409,2988,1895,569,286,1013,1363,7781,0.468,0.553,0.358,0.79,0.581,0.546,0.03,-0.09,-0.06,96.6,111.2,111.2,13.1,19.4,77.9,0.252
673,2016-17,DEN,40,82,42,0.488,19755,3377,7194,2507,4829,870,2365,1537,1986,966,2837,3803,2077,568,323,1226,1567,9161,0.469,0.519,0.368,0.774,0.568,0.53,0.51,0.19,0.7,98.3,113.2,112.7,13.2,27.3,78.7,0.276
674,2015-16,UTA,40,82,42,0.488,19955,2957,6593,2263,4637,694,1956,1402,1885,880,2665,3545,1555,631,425,1224,1655,8010,0.449,0.488,0.355,0.744,0.54,0.501,1.79,0.05,1.84,91,105.9,103.9,14.2,25.9,77.7,0.286
675,2014-15,BOS,40,82,42,0.488,19880,3193,7211,2533,5190,660,2021,1266,1678,910,2685,3595,2009,674,294,1133,1738,8312,0.443,0.488,0.327,0.754,0.523,0.489,0.16,-0.56,-0.4,95.8,104.7,104.5,12.5,24.7,75,0.233
676,2013-14,MIN,40,82,42,0.488,19855,3189,7175,2589,5418,600,1757,1790,2301,1024,2644,3668,1963,718,297,1142,1504,8768,0.444,0.478,0.341,0.778,0.535,0.486,2.67,0.43,3.1,97.3,108.9,106.2,12.2,27.4,74.4,0.321
677,2011-12,ATL,40,66,26,0.606,16165,2429,5348,1937,4018,492,1330,1025,1385,652,2066,2718,1481,536,303,921,1178,6375,0.454,0.482,0.37,0.74,0.535,0.5,3.44,-0.77,2.67,90.2,104.9,101.2,13.4,23.9,74.4,0.259
678,2011-12,LAC,40,66,26,0.606,15965,2439,5366,1925,3925,514,1441,1046,1538,800,1943,2743,1385,556,315,879,1399,6438,0.455,0.49,0.357,0.68,0.533,0.502,2.56,0.26,2.82,89.2,108.5,105.7,12.7,29.5,73.2,0.287
679,2010-11,PHO,40,82,42,0.488,20005,3219,6844,2518,4987,701,1857,1472,1939,821,2478,3299,1945,545,357,1169,1666,8611,0.47,0.505,0.377,0.759,0.559,0.522,-0.89,0.43,-0.46,94.4,109.5,110.4,13.2,23.7,71.6,0.283
680,2009-10,MEM,40,82,42,0.488,19905,3223,6875,2879,5855,344,1020,1614,2202,1070,2496,3566,1543,645,399,1248,1655,8404,0.469,0.492,0.337,0.733,0.536,0.494,-1.51,0.13,-1.39,93.6,108.3,109.9,13.7,31.3,73.3,0.32
681,2009-10,TOR,40,82,42,0.488,19780,3199,6631,2681,5234,518,1397,1618,2118,806,2507,3313,1804,469,384,1100,1819,8534,0.482,0.512,0.371,0.764,0.564,0.521,-1.78,-0.05,-1.83,93.1,111.3,113.2,12.7,24.7,72.9,0.319
682,2007-08,PHI,40,82,42,0.488,19755,3056,6648,2754,5696,302,952,1509,2137,1067,2370,3437,1673,712,400,1172,1620,7923,0.46,0.483,0.317,0.706,0.522,0.482,0.41,-0.23,0.19,90.4,106.4,106,13.4,31.8,72,0.321
683,2006-07,LAC,40,82,42,0.488,19730,2880,6318,2566,5415,314,903,1769,2245,888,2484,3372,1762,596,472,1239,1858,7843,0.456,0.474,0.348,0.788,0.537,0.481,-0.46,0.39,-0.07,90.8,105.1,105.6,14.5,27.2,74.7,0.355
684,2006-07,ORL,40,82,42,0.488,19780,2875,6090,2533,5128,342,962,1679,2393,920,2418,3338,1525,565,416,1392,1904,7771,0.472,0.494,0.356,0.702,0.544,0.5,0.78,-0.43,0.35,89.9,104.9,104.1,16.3,29.3,73.7,0.393
685,2005-06,MIL,40,82,42,0.488,19855,2976,6566,2469,5231,507,1335,1561,2115,929,2448,3377,1769,597,270,1197,1902,8020,0.453,0.472,0.38,0.738,0.535,0.492,-1.04,-0.04,-1.07,91.2,106.3,107.4,13.8,27.3,74.6,0.322
686,2002-03,SEA,40,82,42,0.488,19855,2887,6599,2431,5308,456,1291,1325,1780,963,2385,3348,1775,679,295,1085,1712,7555,0.437,0.458,0.353,0.744,0.512,0.472,-0.12,0.49,0.37,88,103.7,103.9,12.8,28.1,71.8,0.27
687,2000-01,DEN,40,82,42,0.488,19780,2979,6877,2467,5433,512,1444,1448,1964,1044,2583,3627,1970,552,538,1136,1820,7918,0.433,0.454,0.355,0.737,0.511,0.47,-2.46,0.64,-1.83,92.6,103.7,106.3,12.8,28.3,71.8,0.286
688,1999-00,DAL,40,82,42,0.488,19730,3195,7047,2676,5721,519,1326,1407,1751,931,2444,3375,1810,592,416,1124,1770,8316,0.453,0.468,0.391,0.804,0.532,0.49,-0.57,0.29,-0.29,94.9,106.6,107.2,12.6,25.5,66.1,0.248
689,1996-97,MIN,40,82,42,0.488,19780,2937,6436,2566,5343,371,1093,1637,2180,957,2302,3259,1874,618,557,1243,1818,7882,0.456,0.48,0.339,0.751,0.533,0.485,-1.48,-0.35,-1.82,90.7,105.5,107.1,14.4,28.8,68.3,0.339
690,1996-97,PHO,40,82,42,0.488,19855,3143,6705,2616,5277,527,1428,1618,2125,916,2376,3292,2067,664,322,1180,1727,8431,0.469,0.496,0.369,0.761,0.552,0.508,0.66,-0.45,0.21,93.2,109.3,108.6,13.4,27.1,69.4,0.317
691,1992-93,DET,40,82,42,0.488,19780,3267,7211,2975,6303,292,908,1426,1957,1293,2315,3608,1941,580,249,1152,1747,8252,0.453,0.472,0.322,0.729,0.511,0.473,-1.39,0.29,-1.1,93.2,107.4,108.9,12.5,34.6,67.8,0.271
692,1991-92,IND,40,82,42,0.488,19955,3498,7079,3165,6139,333,940,1868,2364,1083,2564,3647,2398,705,393,1402,2137,9197,0.494,0.516,0.354,0.79,0.566,0.518,1.89,-0.04,1.85,99,111.7,109.9,14.7,31.8,67.4,0.334
693,1991-92,NJN,40,82,42,0.488,19780,3473,7580,3249,6910,224,670,1471,2009,1512,2392,3904,1937,736,615,1392,1834,8641,0.458,0.47,0.334,0.732,0.51,0.473,-1.7,0.15,-1.54,98,107,108.7,14.1,39.1,66.3,0.265
694,1988-89,WSB,40,82,42,0.488,19855,3519,7591,3467,7348,52,243,1789,2318,1254,2354,3608,2048,694,325,1291,2054,8879,0.464,0.472,0.214,0.772,0.516,0.467,-2.16,0.39,-1.77,100.8,106.4,108.5,13,33.1,67.5,0.305
695,1986-87,CHI,40,82,42,0.488,19830,3382,7155,3304,6856,78,299,1754,2254,1248,2400,3648,2143,677,438,1257,1922,8596,0.473,0.482,0.261,0.778,0.528,0.478,0.89,0.37,1.26,95.8,108.6,107.6,13.4,35,70,0.315
696,1985-86,POR,40,82,42,0.488,19855,3610,7281,3536,7006,74,275,2142,2799,1153,2316,3469,2180,859,356,1529,2205,9436,0.496,0.505,0.269,0.765,0.554,0.501,1.06,-0.45,0.61,104.5,109.2,108.2,15.2,32.8,66.3,0.384
697,1984-85,WSB,40,82,42,0.488,19855,3534,7383,3425,6985,109,398,1478,1989,1012,2395,3407,2088,709,393,1282,1869,8655,0.479,0.49,0.274,0.743,0.524,0.486,-0.27,0.42,0.15,100.3,104.3,104.6,13.4,27.5,68.2,0.269
698,1983-84,ATL,40,82,42,0.488,19855,3230,6809,3207,6703,23,106,1838,2414,1112,2232,3344,1827,626,558,1329,2091,8321,0.474,0.478,0.217,0.761,0.529,0.476,-1.29,0.22,-1.08,95.3,105.5,106.9,14.4,31.6,65.2,0.355
699,1980-81,HOU,40,82,42,0.488,19805,3573,7335,3552,7217,21,118,1711,2223,1216,2347,3563,2099,705,390,1451,1901,8878,0.487,0.492,0.178,0.77,0.534,0.489,0.33,-0.53,-0.2,100.5,107,106.7,14.9,33.9,66.6,0.303
700,1980-81,KCK,40,82,42,0.488,19830,3572,7151,3523,6983,49,168,1576,2206,1037,2450,3487,2271,719,385,1448,2092,8769,0.5,0.505,0.292,0.714,0.54,0.503,0.01,-0.51,-0.49,101.3,104.7,104.7,15.1,29.2,68.3,0.308
701,2023-24,CHI,39,82,43,0.476,19980,3448,7339,2507,4709,941,2630,1369,1731,916,2677,3593,2048,638,394,1004,1541,9206,0.47,0.532,0.358,0.791,0.568,0.534,-1.44,-0.33,-1.77,96.3,114.9,116.3,11,25.1,76.4,0.236
702,2020-21,GSW,39,72,33,0.542,17305,2973,6347,1925,3558,1048,2789,1193,1520,574,2524,3098,1991,587,342,1080,1526,8187,0.468,0.541,0.376,0.785,0.583,0.551,1.06,0.04,1.1,102.2,111.1,110.1,13.3,17.9,76.6,0.239
703,2018-19,CHO,39,82,43,0.476,19830,3297,7362,2320,4579,977,2783,1510,1895,814,2778,3592,1905,591,405,1001,1550,9081,0.448,0.507,0.351,0.797,0.554,0.514,-1.1,-0.22,-1.32,98.7,111.4,112.5,10.9,21.7,77.1,0.257
704,2018-19,MIA,39,82,43,0.476,19730,3251,7218,2323,4560,928,2658,1238,1782,921,2879,3800,1991,627,448,1208,1712,8668,0.45,0.509,0.349,0.695,0.542,0.515,-0.23,-0.22,-0.45,98.2,107.3,107.6,13.1,24.8,77.6,0.247
705,2018-19,SAC,39,82,43,0.476,19730,3541,7637,2614,5182,927,2455,1354,1865,906,2819,3725,2083,679,363,1095,1751,9363,0.464,0.504,0.378,0.726,0.554,0.524,-1.12,0.31,-0.81,103.1,110.4,111.5,11.5,23.1,75.5,0.244
706,2017-18,DET,39,82,43,0.476,19805,3208,7129,2322,4756,886,2373,1207,1621,830,2756,3586,1868,628,317,1103,1508,8509,0.45,0.488,0.373,0.745,0.543,0.512,-0.15,-0.11,-0.26,96.2,107.2,107.3,12.3,22.7,78.5,0.227
707,2014-15,PHO,39,82,43,0.476,19880,3178,7038,2480,4990,698,2048,1343,1767,896,2643,3539,1659,700,385,1238,1744,8397,0.452,0.497,0.341,0.76,0.537,0.501,-0.9,0.52,-0.38,96.3,105.3,106.2,13.7,24.5,73.5,0.251
708,2011-12,BOS,39,66,27,0.591,15940,2341,5086,1978,4098,363,988,1017,1308,509,2051,2560,1557,498,362,979,1315,6062,0.46,0.483,0.367,0.778,0.535,0.496,2.52,-0.26,2.26,90.4,101,98.2,14.7,19.7,72.4,0.257
709,2010-11,UTA,39,82,43,0.476,19880,3064,6590,2629,5334,435,1256,1590,2061,898,2338,3236,1921,629,484,1175,1865,8153,0.465,0.493,0.346,0.771,0.544,0.498,-1.83,0.39,-1.44,91,108.1,110.1,13.5,27,71.7,0.313
710,2008-09,DET,39,82,43,0.476,19905,2981,6559,2604,5480,377,1079,1388,1849,949,2448,3397,1689,493,377,973,1712,7727,0.454,0.475,0.349,0.751,0.524,0.483,-0.49,0.13,-0.36,86.7,107.4,108,11.7,27.9,74,0.282
711,2006-07,NOK,39,82,43,0.476,19880,2971,6674,2516,5418,455,1256,1436,1941,1025,2512,3537,1537,522,347,1187,1620,7833,0.445,0.464,0.362,0.74,0.52,0.479,-1.57,0.38,-1.19,90.2,104.8,106.5,13.6,29.1,74.7,0.291
712,2003-04,NYK,39,82,43,0.476,19880,2881,6513,2475,5398,406,1115,1374,1732,950,2543,3493,1695,608,391,1289,1897,7542,0.442,0.459,0.364,0.793,0.518,0.474,-1.48,-0.49,-1.97,89.5,101.7,103.3,15.1,28,72.8,0.266
713,2001-02,LAC,39,82,43,0.476,19805,2970,6668,2562,5521,408,1147,1498,2026,1083,2474,3557,1714,510,540,1214,1624,7846,0.445,0.464,0.356,0.739,0.519,0.476,-0.46,0.38,-0.09,90.1,105.5,106,13.8,31.3,69.9,0.304
714,1996-97,IND,39,82,43,0.476,19930,2851,6254,2421,5124,430,1130,1687,2336,1029,2390,3419,1750,585,394,1338,1977,7819,0.456,0.472,0.381,0.722,0.537,0.49,0.98,0.52,1.49,89,105.8,104.7,15.5,31.3,70.4,0.374
715,1995-96,SAC,39,82,43,0.476,19755,2971,6494,2509,5300,462,1194,1759,2407,1114,2345,3459,1829,643,436,1442,2131,8163,0.457,0.473,0.387,0.731,0.54,0.493,-2.71,0.09,-2.62,93.4,106.2,109.1,16,32.5,69,0.371
716,1995-96,WSB,39,82,43,0.476,19805,3202,6618,2709,5406,493,1212,1511,2076,930,2327,3257,1815,592,506,1327,1981,8408,0.484,0.501,0.407,0.728,0.558,0.521,1.06,-0.07,0.99,93.7,108.7,107.6,15,28.2,67.8,0.314
717,1994-95,SAC,39,82,43,0.476,19855,3025,6463,2666,5426,359,1037,1647,2317,1073,2325,3398,1824,650,457,1449,2040,8056,0.468,0.491,0.346,0.711,0.538,0.496,-1,0.26,-0.74,92.3,105.5,106.5,16.2,32.1,67,0.359
718,1992-93,LAL,39,82,43,0.476,19830,3309,6994,3122,6368,187,626,1741,2304,1103,2288,3391,2013,782,431,1266,1778,8546,0.473,0.49,0.299,0.756,0.534,0.486,-1.27,0.06,-1.2,96.2,107.6,108.9,13.7,31.4,66.4,0.329
719,1990-91,NYK,39,82,43,0.476,19955,3308,6822,3123,6264,185,558,1654,2147,1053,2436,3489,2172,638,418,1379,1764,8455,0.485,0.499,0.332,0.77,0.544,0.498,-0.23,-0.2,-0.43,95,107.1,107.3,15.1,31.1,68.5,0.315
720,1988-89,POR,39,82,43,0.476,19830,3695,7795,3479,7150,216,645,1789,2416,1384,2381,3765,2212,828,388,1435,2026,9395,0.474,0.487,0.335,0.74,0.53,0.488,1.46,-0.55,0.92,103.9,109.4,108,13.9,36.7,67.4,0.31
721,1986-87,SEA,39,82,43,0.476,19855,3593,7451,3402,6880,191,571,1948,2571,1373,2395,3768,2184,705,450,1509,2224,9325,0.482,0.494,0.335,0.758,0.543,0.495,0.46,-0.39,0.08,101.8,110.7,110.3,15,37.6,66,0.345
722,1985-86,NJN,39,82,43,0.476,19805,3548,7301,3505,7087,43,214,1810,2396,1183,2483,3666,2128,749,345,1575,2129,8949,0.486,0.495,0.201,0.755,0.536,0.489,-1.99,0.6,-1.39,103.3,105,106.9,15.9,33.3,70.6,0.328
723,1985-86,WSB,39,82,43,0.476,19855,3311,7148,3195,6740,116,408,1704,2286,1066,2432,3498,1748,626,716,1346,1796,8442,0.463,0.474,0.284,0.745,0.518,0.471,-1.8,0.53,-1.28,99.1,103,104.8,14.2,29.1,66.1,0.32
724,1981-82,DET,39,82,43,0.476,19830,3561,7391,3509,7178,52,213,1938,2581,1298,2345,3643,2027,741,564,1629,2160,9112,0.482,0.489,0.244,0.751,0.534,0.485,-0.91,0.28,-0.63,104.3,105.8,106.6,16,34.8,66.9,0.349
725,1980-81,GSW,39,82,43,0.476,19730,3560,7284,3500,7074,60,210,1826,2513,1403,2366,3769,2026,611,301,1547,2158,9006,0.489,0.495,0.286,0.727,0.537,0.493,-1.18,-0.23,-1.41,101,108.5,109.7,15.6,38.8,67.5,0.345
726,1980-81,WSB,39,82,43,0.476,19780,3549,7517,3484,7276,65,241,1499,2072,1155,2533,3688,2151,641,392,1422,1895,8662,0.472,0.479,0.27,0.723,0.514,0.476,0.01,0.41,0.42,102.4,102.7,102.7,14.4,30.5,67.8,0.276
727,1979-80,NYK,39,82,43,0.476,19780,3802,7672,3760,7481,42,191,1698,2274,1236,2303,3539,2265,881,457,1613,2168,9344,0.496,0.503,0.22,0.747,0.539,0.498,-1.15,0.19,-0.96,106.5,106.5,107.5,15.7,33.7,64,0.296
728,1979-80,WSB,39,82,43,0.476,19880,3574,7796,3501,7558,73,238,1552,2048,1334,2723,4057,2201,530,443,1380,1893,8773,0.458,0.463,0.307,0.758,0.504,0.463,-2.55,0.28,-2.27,102.6,103.2,105.7,13.7,33.3,69.5,0.263
729,2022-23,DAL,38,82,44,0.463,19930,3283,6909,2037,3547,1246,3362,1554,2057,625,2556,3181,1880,514,304,1002,1697,9366,0.475,0.574,0.371,0.755,0.599,0.565,0.07,-0.22,-0.14,96.6,116.8,116.7,11.4,18,75.5,0.298
730,2020-21,MEM,38,72,34,0.528,17405,3085,6608,2282,4350,803,2258,1184,1536,803,2543,3346,1938,655,364,957,1349,8157,0.467,0.525,0.356,0.771,0.56,0.528,1.03,0.04,1.07,100.4,112,111,11.6,24.2,78.3,0.232
731,2014-15,IND,38,82,44,0.463,19855,2998,6824,2386,5084,612,1740,1373,1817,856,2822,3678,1757,505,375,1147,1742,7981,0.439,0.469,0.352,0.756,0.523,0.484,0.28,-0.51,-0.23,93.2,103.5,103.2,13.1,24,77.9,0.266
732,2014-15,BRK,38,82,44,0.463,19930,3069,6804,2528,5171,541,1633,1359,1817,846,2627,3473,1716,576,340,1133,1579,8038,0.451,0.489,0.331,0.748,0.529,0.491,-2.88,-0.25,-3.13,92.7,104.4,107.4,13,23.9,73.7,0.267
733,2014-15,UTA,38,82,44,0.463,19705,2900,6492,2290,4711,610,1781,1391,1929,988,2617,3605,1632,623,489,1256,1583,7801,0.447,0.486,0.343,0.721,0.531,0.494,0.22,0.49,0.71,90.4,105.1,104.9,14.6,29.1,76.3,0.297
734,2013-14,ATL,38,82,44,0.463,19830,3061,6688,2293,4572,768,2116,1392,1782,713,2565,3278,2041,680,326,1251,1577,8282,0.458,0.502,0.363,0.781,0.554,0.515,-0.48,-0.4,-0.88,94.6,105.9,106.4,14.3,21,74.4,0.266
735,2012-13,MIL,38,82,44,0.463,19830,3128,7197,2527,5527,601,1670,1251,1700,1068,2537,3605,1876,685,550,1156,1554,8108,0.435,0.457,0.36,0.736,0.51,0.476,-1.5,-0.33,-1.83,94.7,103.6,105.2,12.7,27.9,71.3,0.236
736,2011-12,DEN,38,66,28,0.576,16040,2572,5404,2137,4093,435,1311,1293,1760,738,2105,2843,1581,540,330,1015,1297,6872,0.476,0.522,0.332,0.735,0.556,0.516,2.88,0.29,3.16,94.2,109.2,106.2,14.1,27.7,74.3,0.326
737,2007-08,SAC,38,82,44,0.463,19830,3043,6558,2533,5191,510,1367,1812,2272,829,2456,3285,1567,651,334,1317,1839,8408,0.464,0.488,0.373,0.798,0.556,0.503,-2.26,0.4,-1.86,94.7,107.5,109.9,14.8,25.2,71.7,0.346
738,2005-06,NOK,38,82,44,0.463,19805,2831,6428,2531,5543,300,885,1649,2176,918,2379,3297,1519,611,311,1095,1786,7611,0.44,0.457,0.339,0.758,0.515,0.464,-2.82,0.31,-2.51,89,103.7,106.8,12.9,26.9,73.4,0.339
739,2005-06,PHI,38,82,44,0.463,19905,3001,6546,2626,5515,375,1031,1770,2330,873,2425,3298,1653,651,404,1159,1712,8147,0.458,0.476,0.364,0.76,0.538,0.487,-1.95,-0.15,-2.1,92.7,106,108.1,13.3,25.6,71.3,0.356
740,2002-03,GSW,38,82,44,0.463,19755,3061,6941,2636,5706,425,1235,1853,2382,1284,2546,3830,1712,594,506,1295,1786,8400,0.441,0.462,0.344,0.778,0.526,0.472,-1.13,0.54,-0.6,94.2,108.3,109.5,13.9,35,67.9,0.343
741,1991-92,ATL,38,82,44,0.463,19905,3492,7476,3282,6805,210,671,1517,2074,1288,2498,3786,2123,793,320,1255,1771,8711,0.467,0.482,0.313,0.731,0.519,0.481,-1.5,0.35,-1.15,97.8,107.3,108.9,13,33.6,68.3,0.277
742,1991-92,MIA,38,82,44,0.463,19830,3256,7061,2999,6310,257,751,1839,2329,1187,2366,3553,1749,670,373,1377,1819,8608,0.461,0.475,0.342,0.79,0.532,0.479,-4.21,0.27,-3.94,97.7,106.7,110.9,14.6,33,67.6,0.33
743,1988-89,DAL,38,82,44,0.463,19780,3244,6917,3033,6236,211,681,1785,2263,1048,2397,3445,1867,579,476,1233,1739,8484,0.469,0.486,0.31,0.789,0.536,0.484,-1.21,-0.59,-1.79,95.9,107.4,108.6,13.5,29.5,66.1,0.327
744,1987-88,IND,38,82,44,0.463,19705,3436,7154,3273,6669,163,485,1546,1982,1078,2457,3535,1977,619,345,1318,2038,8581,0.48,0.491,0.336,0.78,0.535,0.492,-0.79,0.62,-0.18,98,106.6,107.4,14.1,30.1,67.9,0.277
745,1987-88,NYK,38,82,44,0.463,19805,3363,7232,3184,6665,179,567,1750,2306,1286,2194,3480,2012,789,445,1518,2361,8655,0.465,0.478,0.316,0.759,0.525,0.477,-0.49,0.63,0.14,99.1,105.9,106.4,15.5,36,65.5,0.319
746,1987-88,WSB,38,82,44,0.463,19880,3355,7164,3326,7026,29,138,1914,2476,1229,2297,3526,1875,698,502,1384,1922,8653,0.468,0.473,0.21,0.773,0.524,0.47,-0.77,0.61,-0.16,98.1,106.5,107.2,14.4,34.2,65.2,0.346
747,1984-85,CHI,38,82,44,0.463,19805,3453,6909,3424,6748,29,161,1981,2526,1074,2366,3440,1992,622,468,1463,2071,8916,0.5,0.507,0.18,0.784,0.556,0.502,-0.84,0.34,-0.5,99.4,108.7,109.6,15.4,32.2,67.5,0.366
748,1983-84,DEN,38,82,44,0.463,19805,3935,7983,3858,7728,77,255,2200,2690,1133,2444,3577,2482,711,352,1344,2279,10147,0.493,0.499,0.302,0.818,0.553,0.498,-1.1,-0.17,-1.27,110.5,111.3,112.3,12.8,29.3,66.6,0.337
749,1983-84,KCK,38,82,44,0.463,19755,3516,7230,3464,7041,52,189,1939,2495,1144,2273,3417,2229,715,383,1504,2200,9023,0.486,0.492,0.275,0.777,0.542,0.49,-1.48,-0.15,-1.62,102.9,106.5,108,15.3,32.4,66.9,0.345
750,1982-83,DAL,38,82,44,0.463,19730,3674,7550,3631,7365,43,185,1852,2462,1296,2381,3677,2227,552,348,1348,2067,9243,0.487,0.493,0.232,0.752,0.535,0.489,-0.41,-0.29,-0.7,102.8,109.4,109.8,13.5,34.8,66.2,0.326
751,1979-80,POR,38,82,44,0.463,19780,3408,7167,3382,7035,26,132,1560,2100,1295,2408,3703,1898,708,472,1552,1956,8402,0.476,0.481,0.197,0.743,0.519,0.477,-0.82,-0.05,-0.87,98.6,103.4,104.3,16.1,35.5,67.9,0.293
752,2022-23,UTA,37,82,45,0.451,19805,3485,7365,2391,4266,1094,3099,1536,1955,968,2794,3762,2129,500,429,1259,1679,9600,0.473,0.56,0.353,0.786,0.584,0.547,-0.94,-0.09,-1.03,100.5,115.8,116.7,13.3,26.8,75.2,0.265
753,2021-22,NYK,37,82,45,0.451,19780,3088,7069,2006,4040,1082,3029,1473,1980,941,2841,3782,1793,570,399,1087,1672,8731,0.437,0.497,0.357,0.744,0.55,0.513,-0.12,0.11,-0.01,95.9,110.4,110.5,12,25.1,78.8,0.28
754,2018-19,LAL,37,82,45,0.451,19780,3491,7425,2644,4884,847,2541,1336,1910,835,2985,3820,2096,618,440,1284,1701,9165,0.47,0.541,0.333,0.699,0.554,0.527,-1.72,0.39,-1.33,103.2,107.8,109.5,13.4,22.2,76.4,0.257
755,2016-17,DET,37,82,45,0.451,19805,3269,7282,2638,5367,631,1915,1140,1586,908,2838,3746,1732,574,310,973,1467,8309,0.449,0.492,0.33,0.719,0.521,0.492,-1.12,-0.17,-1.29,95,106,107.1,10.9,24.1,81.2,0.218
756,2014-15,MIA,37,82,45,0.451,19730,2885,6330,2329,4671,556,1659,1438,1940,747,2461,3208,1626,642,372,1214,1636,7764,0.456,0.499,0.335,0.741,0.54,0.5,-2.6,-0.32,-2.92,90.9,103.9,106.7,14.5,23.2,73.4,0.306
757,2013-14,NYK,37,82,45,0.451,19855,3027,6739,2268,4701,759,2038,1271,1670,870,2437,3307,1641,631,367,1063,1815,8084,0.449,0.482,0.372,0.761,0.541,0.505,-0.79,-0.61,-1.4,90.3,108.3,109.1,12.5,25.1,74.3,0.248
758,2011-12,ORL,37,66,29,0.561,15965,2275,5162,1605,3377,670,1785,995,1508,742,2060,2802,1321,451,275,984,1168,6215,0.441,0.475,0.375,0.66,0.533,0.506,0.79,-0.33,0.46,89,105,104.1,14.5,26.5,75.5,0.292
759,2010-11,IND,37,82,45,0.451,19780,3003,6787,2418,5134,585,1653,1592,2035,914,2657,3571,1611,584,456,1262,1782,8183,0.442,0.471,0.354,0.782,0.533,0.486,-1.07,-0.3,-1.38,94.7,104.8,106,14.1,25.9,74.1,0.3
760,2009-10,NOH,37,82,45,0.451,19830,3178,6842,2607,5270,571,1572,1293,1661,852,2450,3302,1828,625,300,1103,1606,8220,0.464,0.495,0.363,0.778,0.543,0.506,-2.46,0.19,-2.27,92.6,107.4,110.1,12.7,24.8,73.8,0.243
761,2007-08,ATL,37,82,45,0.451,19855,2975,6552,2591,5474,384,1078,1720,2227,1008,2454,3462,1804,600,448,1223,1673,8054,0.454,0.473,0.356,0.772,0.535,0.483,-1.82,-0.41,-2.23,91.1,106.9,108.9,14,29.7,71.7,0.34
762,2004-05,LAC,37,82,45,0.451,20030,2924,6368,2693,5699,231,669,1770,2274,980,2455,3435,1901,599,422,1290,1819,7849,0.459,0.473,0.345,0.778,0.533,0.477,-0.77,0.3,-0.47,89.1,105.5,106.4,14.9,30.3,71.3,0.357
763,2003-04,GSW,37,82,45,0.451,19855,2875,6511,2446,5228,429,1283,1470,2028,1002,2533,3535,1681,576,389,1211,1691,7649,0.442,0.468,0.334,0.725,0.517,0.475,-0.73,0.66,-0.07,89.8,103,103.8,14.1,28.4,72.1,0.311
