player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
Kevin Pittsnogle,PF,2005-06,-%,-,-,6' 9.25'',6' 10.25'',8' 10'',259.2,6' 10.5'',-,-,-,-,-,-
Carlos Powell,SF-PF,2005-06,-%,-,-,6' 5.25'',6' 6.75'',8' 9'',221.8,6' 10.75'',11.54,-,3.21,27.5,34.5,12
Roger Powell,SF,2005-06,-%,-,-,6' 4.75'',6' 6'',8' 8'',218.6,6' 11.5'',-,-,-,-,-,-
Ronnie Price,PG,2005-06,-%,-,-,6' 0.75'',6' 2.25'',8' 0.5'',184.8,6' 5.5'',10.49,-,3.29,31.5,39,11
Anthony Roberson,PG,2005-06,-%,-,-,6' 0.75'',6' 2.5'',7' 11'',178.8,6' 2.75'',11.17,-,3.19,31.5,37,14
Brandon Rush,SG-SF,2005-06,-%,-,-,6' 5'',6' 6.5'',8' 8.5'',211.4,6' 11.25'',11.33,-,3.31,32.5,35,-
Luke Schenscher,C,2005-06,-%,-,-,6' 11.75'',7' 1.5'',9' 3.5'',241.6,7' 5'',12.4,-,3.47,23.5,26.5,1
Wayne Simien,PF,2005-06,-%,-,-,6' 7.25'',6' 9'',8' 11'',255.8,7' 0'',11.05,-,3.35,27,27.5,11
Tre Simmons,SG-SF,2005-06,-%,-,-,6' 4'',6' 5'',8' 6.5'',194.2,6' 7.5'',10.8,-,3.18,27,31.5,3
David Simon,C-PF,2005-06,-%,-,-,6' 8'',6' 9.5'',9' 0'',258.8,7' 3.5'',11.98,-,3.44,28,33,18
Chris Taft,PF,2005-06,-%,-,-,6' 8.5'',6' 9.5'',9' 1'',261,7' 1.75'',11.26,-,3.27,28.5,33,14
Chris Thomas,PG,2005-06,-%,-,-,5' 11.75'',6' 1'',7' 11'',176.2,6' 3'',10.84,-,3.33,28.5,34,14
Omar Thomas,SF-SG,2005-06,-%,-,-,6' 3.25'',6' 4.5'',8' 6'',200,6' 8'',11.11,-,3.27,25,29.5,6
Dijon Thompson,SF-SG,2005-06,-%,-,-,6' 6.25'',6' 8'',8' 9.5'',195.8,6' 9.75'',-,-,-,-,-,-
Ronny Turiaf,PF,2005-06,-%,-,-,6' 8'',6' 9.25'',8' 10.5'',237.8,7' 1.5'',11.5,-,3.23,30.5,33,15
Charlie Villanueva,PF-SF,2005-06,-%,-,-,6' 9'',6' 9.5'',9' 1'',236.6,7' 0.25'',10.86,-,3.3,26,31,11
Hakim Warrick,PF-SF,2005-06,-%,-,-,6' 7.25'',6' 8.5'',9' 0'',215,7' 2'',-,-,3.22,33,38,11
Martell Webster,SF,2005-06,-%,-,-,6' 6'',6' 7.5'',8' 10'',229.6,6' 11'',11.39,-,3.39,28,30.5,7
Robert Whaley,PF-C,2005-06,-%,-,-,6' 8'',6' 9'',9' 0'',269.4,7' 2'',12.11,-,3.25,28.5,33.5,15
Marvin Williams,PF-SF,2005-06,-%,-,-,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5'',11.11,-,3.17,29.5,35,12
Deron Williams,PG,2005-06,-%,-,-,6' 1.75'',6' 2.75'',8' 2'',202.4,6' 6.25'',10.83,-,3.25,30,35,15
Jawad Williams,SF,2005-06,-%,-,-,6' 7'',6' 8'',8' 10.5'',218,7' 1.25'',11.39,-,3.23,28,34,15
Antoine Wright,SF-SG,2005-06,-%,-,-,6' 5.25'',6' 6.25'',8' 8.5'',202.6,6' 8.75'',11.45,-,3.41,26.5,29.5,12
Bracey Wright,SG-PG,2005-06,-%,-,-,6' 1.25'',6' 2.5'',8' 4.5'',186.8,6' 10'',11.58,-,3.27,30,36,8
